match_file,event_id,event_index,period_id,time_min,time_sec,contestant_id,player_id,player_name,type_id,x,y,is_goal,is_post,is_on_target,is_outfield_block,is_penalty,xg,psxg,situation_danger,p_on_target,xgot,multi_miss,multi_post,multi_on_target,multi_goal,danger_score
2026-07-04_Barcelona SC - CD Cuenca.json,2946226647,30,1,2,47,50127xit7gxvh20pvvv2lyh0r,4hi4438obetkhz4ej3wnxal1w,K. Caicedo,13,89.3,54.0,0,0,0,0,0,0.05756358802318573,0.0,0.02995169162750244,0.3601609766483307,0.5058823823928833,0.5523742437362671,0.010609635151922703,0.3801068663597107,0.056909240782260895,0.19071172773838044
2026-07-04_Barcelona SC - CD Cuenca.json,2946227507,63,1,6,3,50127xit7gxvh20pvvv2lyh0r,awdjt5pirvlh1bt1jalw2xzx0,J. Wila,13,86.0,66.3,0,0,0,0,0,0.04280821979045868,0.0,0.05809399485588074,0.27726954221725464,0.634782612323761,0.2892557978630066,0.024219252169132233,0.6497929692268372,0.036731984466314316,0.202590873837471
2026-07-04_Barcelona SC - CD Cuenca.json,2946228029,84,1,7,57,50127xit7gxvh20pvvv2lyh0r,4hi4438obetkhz4ej3wnxal1w,K. Caicedo,15,74.5,61.7,0,0,0,1,0,0.024022947996854782,0.00036088054184801877,0.046983759850263596,0.27339643239974976,0.009999999776482582,0.37801703810691833,0.014477675780653954,0.5892331004142761,0.01827220804989338,0.07095280411303975
2026-07-04_Barcelona SC - CD Cuenca.json,2946228287,100,1,8,58,6gcr0sc8ei7umo38l346y7n7,2te3w0rx72curikza0vdn1gr8,D. González,15,82.7,63.2,0,0,1,0,0,0.05756358802318573,0.14536741375923157,0.046983759850263596,0.29398664832115173,0.1355932205915451,0.28069236874580383,0.0227210596203804,0.6479238867759705,0.048662684857845306,0.13589892610907556
2026-07-04_Barcelona SC - CD Cuenca.json,2946228853,119,1,11,2,6gcr0sc8ei7umo38l346y7n7,828hvoj3o5eg35zddusyzkep6,P. Boolsen,16,8.5,35.6,1,0,1,0,0,1.0,1.0,0.08461538702249527,1.0,0.9661017060279846,0.011884313076734543,0.0006881399312987924,0.007640955038368702,0.9797866344451904,0.810143418610096
2026-07-04_Barcelona SC - CD Cuenca.json,2946229397,130,1,13,18,50127xit7gxvh20pvvv2lyh0r,6c5z6whsuoapbdrwn4368orft,J. Quiñónez,14,86.5,49.1,0,1,0,0,0,0.024022947996854782,0.0,0.02995169162750244,0.27339643239974976,0.4615384638309479,0.580593466758728,0.01355622336268425,0.3829469084739685,0.02290342189371586,0.15778190717101098
2026-07-04_Barcelona SC - CD Cuenca.json,2946229415,131,1,13,25,50127xit7gxvh20pvvv2lyh0r,5qih0mpbm50gx2fu5kum3nxlh,J. Intriago,13,90.3,35.2,0,0,0,0,0,0.04280821979045868,0.00036088054184801877,0.02995169162750244,0.2594696879386902,0.5058823823928833,0.29123684763908386,0.008916011080145836,0.6575263738632202,0.04232075437903404,0.16769457245827651
2026-07-04_Barcelona SC - CD Cuenca.json,2946229575,136,1,13,55,6gcr0sc8ei7umo38l346y7n7,8vnajjn470acmoyohlg0f5qtw,M. Díaz,15,85.8,32.5,0,0,1,0,0,0.03790983557701111,0.01895734667778015,0.046983759850263596,0.2731277644634247,0.03097345121204853,0.3542839586734772,0.015388188883662224,0.5949957370758057,0.035332098603248596,0.08159043155610561
2026-07-04_Barcelona SC - CD Cuenca.json,2946229671,139,1,14,20,6gcr0sc8ei7umo38l346y7n7,5t1zsk9kamjebuvv1yl34aga1,M. Maccari,15,77.5,45.0,0,0,0,1,0,0.03790983557701111,0.0014577260008081794,0.046983759850263596,0.2731277644634247,0.051948051899671555,0.3447518050670624,0.01895877718925476,0.6000335812568665,0.03625583276152611,0.08228542755823583
2026-07-04_Barcelona SC - CD Cuenca.json,2946232089,218,1,20,55,6gcr0sc8ei7umo38l346y7n7,8vnajjn470acmoyohlg0f5qtw,M. Díaz,15,74.1,26.2,0,0,0,1,0,0.024022947996854782,0.00036088054184801877,0.042812079191207886,0.29398664832115173,0.0,0.38254860043525696,0.004942596424371004,0.580822765827179,0.031686026602983475,0.07223651121021249
2026-07-04_Barcelona SC - CD Cuenca.json,2946232243,227,1,21,22,6gcr0sc8ei7umo38l346y7n7,2te3w0rx72curikza0vdn1gr8,D. González,15,79.9,65.2,0,0,0,1,0,0.035307515412569046,0.00036088054184801877,0.042812079191207886,0.2594696879386902,0.009999999776482582,0.3558759093284607,0.013779579661786556,0.6029025316238403,0.02744194120168686,0.06959003257215954
2026-07-04_Barcelona SC - CD Cuenca.json,2946233447,287,1,25,0,6gcr0sc8ei7umo38l346y7n7,2te3w0rx72curikza0vdn1gr8,D. González,13,85.5,58.5,0,0,0,0,0,0.05756358802318573,0.0,0.04532967135310173,0.23201175034046173,0.5058823823928833,0.4220225214958191,0.016180288046598434,0.5118117928504944,0.049985386431217194,0.1681574784219265
2026-07-04_Barcelona SC - CD Cuenca.json,2946235637,298,1,33,42,50127xit7gxvh20pvvv2lyh0r,6c5z6whsuoapbdrwn4368orft,J. Quiñónez,16,88.5,50.0,1,0,1,0,1,0.79,0.79,0.79,1.0,0.79,0.0,0.0,0.0,0.79,0.8320000000000001
2026-07-04_Barcelona SC - CD Cuenca.json,2946235925,307,1,35,15,50127xit7gxvh20pvvv2lyh0r,4hi4438obetkhz4ej3wnxal1w,K. Caicedo,15,76.8,46.8,0,0,0,1,0,0.04280821979045868,0.00036088054184801877,0.042812079191207886,0.27726954221725464,0.03097345121204853,0.3266043961048126,0.020444728434085846,0.6084175109863281,0.04453335702419281,0.07884483459056355
2026-07-04_Barcelona SC - CD Cuenca.json,2946236725,358,1,39,39,50127xit7gxvh20pvvv2lyh0r,awdjt5pirvlh1bt1jalw2xzx0,J. Wila,15,96.0,67.1,0,0,1,0,0,0.05756358802318573,0.14536741375923157,0.04532967135310173,0.4680337905883789,0.2232142835855484,0.17954225838184357,0.03798435628414154,0.71286541223526,0.06960796564817429,0.18790174946188926
2026-07-04_Barcelona SC - CD Cuenca.json,2946237601,437,1,43,31,6gcr0sc8ei7umo38l346y7n7,1tppjbelv789od9d2jtqf4duc,M. Klimowicz,15,88.0,42.5,0,0,1,0,0,0.13627992570400238,0.08799999952316284,0.34585291147232056,0.36234569549560547,0.10436432808637619,0.25927734375,0.031570013612508774,0.5495088696479797,0.15964378416538239,0.2073685720562935
2026-07-04_Barcelona SC - CD Cuenca.json,2946237879,448,1,44,49,6gcr0sc8ei7umo38l346y7n7,1tppjbelv789od9d2jtqf4duc,M. Klimowicz,15,95.4,56.6,0,0,0,1,0,0.24761904776096344,0.0038314175326377153,0.05809399485588074,0.4680337905883789,0.35606059432029724,0.334108829498291,0.06741776317358017,0.3105221390724182,0.2879512310028076,0.2267277690116316
