match_file,event_id,event_index,period_id,time_min,time_sec,contestant_id,player_id,player_name,type_id,x,y,is_goal,is_post,is_on_target,is_outfield_block,is_penalty,xg,psxg,situation_danger,p_on_target,xgot,multi_miss,multi_post,multi_on_target,multi_goal,danger_score
2026-04-18_CD Universidad Católica del Ecuador - Libertad Fútbol Club.json,2925847201,95,1,10,55,85tqel61vdk8sfz1vsb1jykk7,9ggta4hzy0w4xkukczrti5y7e,J. Fajardo,13,97.0,35.2,0,0,0,0,0,0.05756358802318573,0.00036088054184801877,0.02995169162750244,0.4680337905883789,0.6594594717025757,0.23786833882331848,0.01239624060690403,0.6835293173789978,0.06620612740516663,0.24307388449669814
2026-04-18_CD Universidad Católica del Ecuador - Libertad Fútbol Club.json,2925848677,120,1,13,18,37k9jifjhdcnb31yzzkmo7uhg,bjzxx0p23kmsxnxvlm9e8ajqi,I. Zambrano,15,89.6,39.9,0,0,0,1,0,0.13627992570400238,0.00036088054184801877,0.05809399485588074,0.36234569549560547,0.10436432808637619,0.2533727288246155,0.017147937789559364,0.6128267049789429,0.11665263772010803,0.13228896493674255
2026-04-18_CD Universidad Católica del Ecuador - Libertad Fútbol Club.json,2925849129,123,1,13,58,37k9jifjhdcnb31yzzkmo7uhg,dgvh151r1x9xuu8l75u2icphw,D. Coronel,14,92.9,51.7,0,1,0,0,0,0.13627992570400238,0.00036088054184801877,0.02995169162750244,0.29398664832115173,0.4615384638309479,0.5597030520439148,0.016363004222512245,0.33355215191841125,0.09038178622722626,0.1844235220050905
2026-04-18_CD Universidad Católica del Ecuador - Libertad Fútbol Club.json,2925853477,171,1,21,10,85tqel61vdk8sfz1vsb1jykk7,9ggta4hzy0w4xkukczrti5y7e,J. Fajardo,14,88.5,50.0,0,1,0,0,1,0.79,0.79,0.79,1.0,0.79,0.0,0.0,0.0,0.79,0.8320000000000001
2026-04-18_CD Universidad Católica del Ecuador - Libertad Fútbol Club.json,2925854153,189,1,22,35,85tqel61vdk8sfz1vsb1jykk7,qtilzeesr535rrklzb5d2qz8,Eric Valencia,15,88.7,55.6,0,0,0,1,0,0.19158878922462463,0.0014577260008081794,0.04772234335541725,0.36234569549560547,0.10436432808637619,0.2663901746273041,0.018410466611385345,0.5352672934532166,0.1799321174621582,0.14149577643256633
2026-04-18_CD Universidad Católica del Ecuador - Libertad Fútbol Club.json,2925855063,199,1,24,19,85tqel61vdk8sfz1vsb1jykk7,b5b0gp63p5mdpusl6lc56q4bu,G. Anangonó,15,65.9,33.1,0,0,1,0,0,0.024022947996854782,0.10101009905338287,0.042812079191207886,0.27726954221725464,0.10436432808637619,0.5898435115814209,0.011900833807885647,0.36895552277565,0.02930014580488205,0.10989579930901527
2026-04-18_CD Universidad Católica del Ecuador - Libertad Fútbol Club.json,2925857415,237,1,29,36,85tqel61vdk8sfz1vsb1jykk7,9ggta4hzy0w4xkukczrti5y7e,J. Fajardo,15,86.2,43.4,0,0,0,1,0,0.19158878922462463,0.0014577260008081794,0.05809399485588074,0.4680337905883789,0.10436432808637619,0.1685185581445694,0.017030684277415276,0.6510693430900574,0.16338138282299042,0.16470772575121373
2026-04-18_CD Universidad Católica del Ecuador - Libertad Fútbol Club.json,2925858499,200,1,32,36,37k9jifjhdcnb31yzzkmo7uhg,2fw569u1ow7xdtocc0qpg5fmy,V. Branda,15,76.1,29.6,0,0,0,1,0,0.024022947996854782,0.00036088054184801877,0.04772234335541725,0.30042919516563416,0.02985074557363987,0.3962373733520508,0.005928697995841503,0.5737398862838745,0.024094050750136375,0.08047722252667881
2026-04-18_CD Universidad Católica del Ecuador - Libertad Fútbol Club.json,2925859331,214,1,34,32,37k9jifjhdcnb31yzzkmo7uhg,bjzxx0p23kmsxnxvlm9e8ajqi,I. Zambrano,13,74.3,39.0,0,0,0,0,0,0.024022947996854782,0.0,0.042812079191207886,0.27339643239974976,0.5058823823928833,0.3879593014717102,0.013316386379301548,0.5806466341018677,0.018077675253152847,0.16922276839613914
2026-04-18_CD Universidad Católica del Ecuador - Libertad Fútbol Club.json,2925861465,338,1,39,6,85tqel61vdk8sfz1vsb1jykk7,dukia9yvlzkug4gw890nwneok,Á. Rodríguez,15,77.1,62.2,0,0,1,0,0,0.035307515412569046,0.14536741375923157,0.04532967135310173,0.27339643239974976,0.10436432808637619,0.3825657367706299,0.013399436138570309,0.5690717101097107,0.034963127225637436,0.12075307220220566
