match_file,event_id,event_index,period_id,time_min,time_sec,contestant_id,player_id,player_name,type_id,x,y,is_goal,is_post,is_on_target,is_outfield_block,is_penalty,xg,psxg,situation_danger,p_on_target,xgot,multi_miss,multi_post,multi_on_target,multi_goal,danger_score
2026-03-06_Delfín SC - Guayaquil City FC.json,2907852659,5,1,0,7,82lpmyui5ugjg53te2h5p5evr,1k67oaz0zol06690e5qlec0rt,M. Mejía,15,71.3,54.8,0,0,1,0,0,0.024022947996854782,0.01315789483487606,0.03171641752123833,0.2594696879386902,0.0,0.48289674520492554,0.017134077847003937,0.48743486404418945,0.012534286826848984,0.06567338965833187
2026-03-06_Delfín SC - Guayaquil City FC.json,2907854901,69,1,10,26,82lpmyui5ugjg53te2h5p5evr,1kg0a71ryvy9641bml2ykgwt0,G. Heredia,13,90.2,28.6,0,0,0,0,0,0.024022947996854782,0.0,0.05809399485588074,0.27726954221725464,0.3692307770252228,0.5429172515869141,0.015617871657013893,0.4110604226589203,0.030404459685087204,0.14572345241904258
2026-03-06_Delfín SC - Guayaquil City FC.json,2907857205,238,1,21,21,a89x9w22vg0m6q3rnlad8qgmt,8gy8s9ea67vkmgdce51oif089,A. Naula,15,91.2,43.0,0,0,0,1,0,0.21265378594398499,0.021276595070958138,0.07213114947080612,0.4680337905883789,0.6499999761581421,0.26563283801078796,0.016123630106449127,0.4063001871109009,0.311943382024765,0.284819059446454
2026-03-06_Delfín SC - Guayaquil City FC.json,2907859031,238,1,33,2,82lpmyui5ugjg53te2h5p5evr,7kihndiwtubq0hitl7sdix6ok,F. Ratotti,13,82.2,51.7,0,0,0,0,0,0.05756358802318573,0.0,0.05809399485588074,0.23201175034046173,0.6594594717025757,0.38548487424850464,0.014029228128492832,0.5660504102706909,0.0344354584813118,0.20142576098442078
2026-03-06_Delfín SC - Guayaquil City FC.json,2907865361,360,2,48,15,82lpmyui5ugjg53te2h5p5evr,1k67oaz0zol06690e5qlec0rt,M. Mejía,13,77.4,63.8,0,0,0,0,0,0.024022947996854782,0.0,0.009615384973585606,0.20000000298023224,0.2641509473323822,0.42071056365966797,0.00843388307839632,0.5533323287963867,0.017523208633065224,0.09955785665661096
2026-03-06_Delfín SC - Guayaquil City FC.json,2907865641,501,2,49,51,a89x9w22vg0m6q3rnlad8qgmt,3ezi5wz8kxifzwvm97ywy1fdg,J. Ayoví,15,87.2,34.4,0,0,0,1,0,0.04280821979045868,0.00036088054184801877,0.05809399485588074,0.2777777910232544,0.033707864582538605,0.2690817415714264,0.013994935899972916,0.6532748937606812,0.06364841759204865,0.08254975015879609
2026-03-06_Delfín SC - Guayaquil City FC.json,2907865901,522,2,51,22,a89x9w22vg0m6q3rnlad8qgmt,2mdwtann516klfiehi3udc3c9,K. Sambonino,15,77.2,37.2,0,0,1,0,0,0.035307515412569046,0.08799999952316284,0.05809399485588074,0.27726954221725464,0.10436432808637619,0.34198176860809326,0.012965123169124126,0.6030982732772827,0.04195486381649971,0.1126070760190487
2026-03-06_Delfín SC - Guayaquil City FC.json,2907865959,393,2,51,38,82lpmyui5ugjg53te2h5p5evr,7kihndiwtubq0hitl7sdix6ok,F. Ratotti,15,87.1,64.0,0,0,0,1,0,0.13627992570400238,0.011029412038624287,0.04772234335541725,0.4060402810573578,0.4444444477558136,0.2471514344215393,0.01933491788804531,0.6297742128372192,0.1037394255399704,0.20910328198224307
2026-03-06_Delfín SC - Guayaquil City FC.json,2907866441,412,2,54,11,82lpmyui5ugjg53te2h5p5evr,gn5jbp8pgfhr12jxfiaftkwk,L. Castro,13,72.8,63.8,0,0,0,0,0,0.024022947996854782,0.00036088054184801877,0.04532967135310173,0.2594696879386902,0.15658363699913025,0.42218008637428284,0.00961553119122982,0.5501959919929504,0.018008336424827576,0.097153364965925
2026-03-06_Delfín SC - Guayaquil City FC.json,2907871991,681,2,61,1,82lpmyui5ugjg53te2h5p5evr,xlf5107rr4dgwmpncpa7lcoa,F. Ayunta,15,83.9,50.1,0,0,0,1,0,0.03790983557701111,0.00036088054184801877,0.034674063324928284,0.29398664832115173,0.03097345121204853,0.642505407333374,0.009302663616836071,0.32915863394737244,0.019033273681998253,0.07958097579539754
