match_file,event_id,event_index,period_id,time_min,time_sec,contestant_id,player_id,player_name,type_id,x,y,is_goal,is_post,is_on_target,is_outfield_block,is_penalty,xg,psxg,situation_danger,p_on_target,xgot,multi_miss,multi_post,multi_on_target,multi_goal,danger_score
2026-04-17_Leones FC - SD Aucas.json,2925059611,15,1,0,56,1ixo4545wkh4oe83osm4tg0a2,1tm8ous2ierrmfhhghg418w7o,J. Mairongo,13,70.7,44.4,0,0,0,0,0,0.024022947996854782,0.0,0.03171641752123833,0.2594696879386902,0.18131868541240692,0.4979079067707062,0.01035500317811966,0.47978973388671875,0.011947364546358585,0.09930554777383804
2026-04-17_Leones FC - SD Aucas.json,2925060075,38,1,3,56,1ixo4545wkh4oe83osm4tg0a2,8yoyibzmbvn07jwa0zli2gwyd,C. Vélez,15,76.9,41.9,0,0,0,1,0,0.03790983557701111,0.00036088054184801877,0.042812079191207886,0.27339643239974976,0.02985074557363987,0.3437451124191284,0.016399290412664413,0.5934784412384033,0.046377167105674744,0.07686599465669133
2026-04-17_Leones FC - SD Aucas.json,2925060983,83,1,7,55,1ixo4545wkh4oe83osm4tg0a2,1tm8ous2ierrmfhhghg418w7o,J. Mairongo,13,74.6,68.8,0,0,0,0,0,0.035307515412569046,0.0,0.07213114947080612,0.31630972027778625,0.15658363699913025,0.4321947991847992,0.0064679402858018875,0.5259777903556824,0.035359520465135574,0.11606640443205833
2026-04-17_Leones FC - SD Aucas.json,2925061817,149,1,11,48,6qtl2ep6r5k1m3y6t8uh57y0g,694zvj9x9pfl4iujjgp9yqy1h,A. Preciado,15,71.6,45.2,0,0,0,1,0,0.024022947996854782,0.08799999952316284,0.046983759850263596,0.27339643239974976,0.0782608687877655,0.4523746073246002,0.019528411328792572,0.5111474394798279,0.016949577257037163,0.10213280171155929
2026-04-17_Leones FC - SD Aucas.json,2925065009,288,1,27,43,6qtl2ep6r5k1m3y6t8uh57y0g,83p554lqkya2wsmfy2mwt0844,S. Porozo,13,78.4,56.4,0,0,0,0,0,0.09298998862504959,0.0,0.05809399485588074,0.31630972027778625,0.4615384638309479,0.3217049539089203,0.016838958486914635,0.6036481261253357,0.05780794844031334,0.1857864335179329
2026-04-17_Leones FC - SD Aucas.json,2925065497,313,1,29,51,6qtl2ep6r5k1m3y6t8uh57y0g,bfi2ctruf32ezbxf3xokls3kk,P. Guzmán,13,81.9,51.7,0,0,0,0,0,0.09298998862504959,0.0,0.042812079191207886,0.31630972027778625,0.5058823823928833,0.2420780062675476,0.011655286885797977,0.6745041608810425,0.0717625617980957,0.1915988340973854
2026-04-17_Leones FC - SD Aucas.json,2925070301,460,2,46,57,6qtl2ep6r5k1m3y6t8uh57y0g,694zvj9x9pfl4iujjgp9yqy1h,A. Preciado,13,74.5,68.9,0,0,0,0,0,0.02590673603117466,0.0,0.042812079191207886,0.27339643239974976,0.4615384638309479,0.3688884973526001,0.009791487827897072,0.5781161189079285,0.043203894048929214,0.16073074229061604
2026-04-17_Leones FC - SD Aucas.json,2925070835,482,2,51,19,6qtl2ep6r5k1m3y6t8uh57y0g,694zvj9x9pfl4iujjgp9yqy1h,A. Preciado,13,90.2,69.9,0,0,0,0,0,0.03790983557701111,0.0,0.042812079191207886,0.3601609766483307,0.5058823823928833,0.3723352253437042,0.03783963620662689,0.5595844984054565,0.030240638181567192,0.1893530547618866
2026-04-17_Leones FC - SD Aucas.json,2925071317,401,2,55,36,1ixo4545wkh4oe83osm4tg0a2,1ftsi7wqe7zcrmzvk9m8d5el0,R. Borja,15,78.9,38.2,0,0,0,1,0,0.05756358802318573,0.00036088054184801877,0.042812079191207886,0.2594696879386902,0.02985074557363987,0.3288975954055786,0.012982215732336044,0.5922152996063232,0.06590491533279419,0.07801139625371434
2026-04-17_Leones FC - SD Aucas.json,2925071359,405,2,56,8,1ixo4545wkh4oe83osm4tg0a2,cjxju5ivkc1vg8ty5s0wa1dsk,M. Caramuto,13,91.1,63.0,0,0,0,0,0,0.024022947996854782,0.0,0.02995169162750244,0.16802167892456055,0.35606059432029724,0.4770934283733368,0.014372970908880234,0.48553839325904846,0.022995218634605408,0.115611382573843
2026-04-17_Leones FC - SD Aucas.json,2925071475,509,2,57,18,6qtl2ep6r5k1m3y6t8uh57y0g,694zvj9x9pfl4iujjgp9yqy1h,A. Preciado,15,87.8,64.0,0,0,0,1,0,0.10483871400356293,0.00036088054184801877,0.05809399485588074,0.36234569549560547,0.0782608687877655,0.31794968247413635,0.020373539999127388,0.5925748348236084,0.06910189241170883,0.12078003073693253
2026-04-17_Leones FC - SD Aucas.json,2925071481,510,2,57,21,6qtl2ep6r5k1m3y6t8uh57y0g,6u5110uirl21q32w45o5ieqz8,A. Zova,15,86.4,34.4,0,0,0,1,0,0.04280821979045868,0.00036088054184801877,0.04772234335541725,0.2777777910232544,0.0782608687877655,0.2433805912733078,0.017147580161690712,0.6804483532905579,0.05902352184057236,0.08938602069974877
2026-04-17_Leones FC - SD Aucas.json,2925071663,519,2,58,40,6qtl2ep6r5k1m3y6t8uh57y0g,bfi2ctruf32ezbxf3xokls3kk,P. Guzmán,15,80.5,29.3,0,0,0,1,0,0.024022947996854782,0.0038314175326377153,0.034674063324928284,0.16802167892456055,0.15658363699913025,0.4152434766292572,0.012096870690584183,0.5382194519042969,0.03444022685289383,0.07742674895562232
2026-04-17_Leones FC - SD Aucas.json,2925071819,441,2,60,10,1ixo4545wkh4oe83osm4tg0a2,1ftsi7wqe7zcrmzvk9m8d5el0,R. Borja,13,72.1,62.0,0,0,0,0,0,0.024022947996854782,0.0,0.042812079191207886,0.2731277644634247,0.5058823823928833,0.412314772605896,0.012624364346265793,0.5542899370193481,0.020770980045199394,0.16916903480887413
2026-04-17_Leones FC - SD Aucas.json,2925072645,501,2,65,53,1ixo4545wkh4oe83osm4tg0a2,cjxju5ivkc1vg8ty5s0wa1dsk,M. Caramuto,13,72.2,49.3,0,0,0,0,0,0.03333333507180214,0.0,0.042812079191207886,0.2731277644634247,0.5058823823928833,0.39102134108543396,0.008876725099980831,0.5688162446022034,0.03128566965460777,0.1710311122238636
2026-04-17_Leones FC - SD Aucas.json,2925074469,690,2,77,39,6qtl2ep6r5k1m3y6t8uh57y0g,d7im7zieua6bh8y8m5eh646xg,R. Quiñónez,16,86.0,65.4,1,0,1,0,0,0.04280821979045868,0.2954545319080353,0.04532967135310173,0.27726954221725464,0.4615384638309479,0.2804284393787384,0.011238840408623219,0.6283218860626221,0.08001086115837097,0.22448008581995965
2026-04-17_Leones FC - SD Aucas.json,2925075963,698,2,86,50,1ixo4545wkh4oe83osm4tg0a2,elibn4o65l8afy69rfyqf299m,D. Pazmiño,13,74.8,36.7,0,0,0,0,0,0.024022947996854782,0.0,0.07213114947080612,0.27726954221725464,0.5058823823928833,0.38074424862861633,0.029527876526117325,0.5641164779663086,0.02561141736805439,0.17586120441555977
2026-04-17_Leones FC - SD Aucas.json,2925076417,723,2,89,10,1ixo4545wkh4oe83osm4tg0a2,vqey0awa6vi7wuo8ep1j2p2i,C. Solano,13,78.6,64.4,0,0,0,0,0,0.035307515412569046,0.0,0.046983759850263596,0.27726954221725464,0.2641509473323822,0.32198238372802734,0.01649286039173603,0.626889169216156,0.03463556244969368,0.12474235296249389
2026-04-17_Leones FC - SD Aucas.json,2925077177,737,2,93,54,1ixo4545wkh4oe83osm4tg0a2,elibn4o65l8afy69rfyqf299m,D. Pazmiño,13,89.8,82.1,0,0,0,0,0,0.05756358802318573,0.0,0.042812079191207886,0.3550724685192108,0.35606059432029724,0.5422763824462891,0.024725263938307762,0.41659799218177795,0.01640033721923828,0.16230174601078035
