team,headed_clearances,mean_landing_error,median_landing_error,actual_length,expected_length,length_oe,territory_oe,wide_oe,danger_zone_rate,expected_danger_zone_rate,danger_zone_avoidance,safe_wide_rate,expected_safe_wide_rate,same_team_first_touch_rate,opponent_first_touch_rate,opponent_shot_10s_rate,opponent_final_third_touch_10s_rate,relief_success_rate,clearance_value_oe
Leones FC,203,17.647014369897942,15.024845933831326,21.145196940767388,11.461056071807917,9.68414086895947,-0.741675479734103,7.99062879222311,0.37438423645320196,0.6600985221674877,0.2857142857142857,0.08374384236453201,0.059113300492610835,0.541871921182266,0.43842364532019706,0.09359605911330049,0.6009852216748769,0.5517241379310345,1.039043466222365
Delfín SC,262,16.58182834781579,14.16087896691522,20.992851796767653,11.941042253535297,9.051809543232356,-0.5170195553061115,7.072630320254041,0.3931297709923664,0.6221374045801527,0.22900763358778625,0.12213740458015267,0.07633587786259542,0.583969465648855,0.4083969465648855,0.10305343511450382,0.6984732824427481,0.6106870229007634,0.7036119432402137
CSD Macará,179,18.731798117011227,16.445492533923087,22.505275155438465,11.712951888452483,10.792323266985981,-0.45160273841855136,8.210304143279508,0.3128491620111732,0.5251396648044693,0.2122905027932961,0.22905027932960895,0.1340782122905028,0.4860335195530726,0.4972067039106145,0.0782122905027933,0.6145251396648045,0.5921787709497207,0.5364295398510851
CD Universidad Católica del Ecuador,121,16.3391006151729,13.566319890424445,19.82018430413596,11.103720335990607,8.716463968145353,-0.37716895597971634,5.665535849743984,0.4628099173553719,0.6033057851239669,0.14049586776859505,0.12396694214876033,0.06611570247933884,0.4380165289256198,0.5041322314049587,0.0743801652892562,0.36363636363636365,0.47107438016528924,-0.11600404719885468
SD Aucas,190,17.386358556001973,14.310414081598935,22.21937762369545,11.996918939801148,10.2224586838943,-0.035347140868206776,6.778607872240985,0.29473684210526313,0.43157894736842106,0.1368421052631579,0.23684210526315788,0.15263157894736842,0.4105263157894737,0.5526315789473685,0.06315789473684211,0.4421052631578947,0.4789473684210526,-0.21174493629295782
Guayaquil City FC,184,17.2895515265259,15.59464997696913,22.356673614401313,12.475083974434899,9.881589639966414,0.4846420261499096,7.633559618800806,0.46195652173913043,0.7228260869565217,0.2608695652173913,0.07608695652173914,0.021739130434782608,0.40217391304347827,0.5652173913043478,0.09782608695652174,0.45652173913043476,0.4076086956521739,-0.2156898570346142
Liga Deportiva Universitaria de Quito,198,15.287939991662492,12.381042871897364,19.436833814890715,11.384207843212304,8.052625971678408,-0.8243173336534165,5.629978335472251,0.3787878787878788,0.51010101010101,0.13131313131313133,0.20202020202020202,0.12626262626262627,0.5050505050505051,0.48484848484848486,0.06060606060606061,0.5353535353535354,0.5909090909090909,-0.24369656754181745
CD Técnico Universitario,259,17.154963992873945,13.899458423765518,22.163803612170813,12.18124779668541,9.982555815485403,-0.24440662183572154,8.032377908687064,0.3861003861003861,0.61003861003861,0.22393822393822393,0.11583011583011583,0.07722007722007722,0.4864864864864865,0.5135135135135135,0.09266409266409266,0.6833976833976834,0.5019305019305019,-0.37505276376345315
Barcelona SC,174,16.560594197404484,15.172063655235261,21.215964031466005,11.701196141965212,9.514767889500794,0.5529021921634694,6.960630518902621,0.3735632183908046,0.5977011494252874,0.22413793103448276,0.1724137931034483,0.07471264367816093,0.4885057471264368,0.5,0.13218390804597702,0.6666666666666666,0.5287356321839081,-0.4833211958004224
Manta FC,224,14.869040643261789,12.947235829782521,20.1950211568854,12.397698286533219,7.797322870352181,-0.113275999654429,5.695143969930291,0.41517857142857145,0.5803571428571429,0.16517857142857142,0.15625,0.10714285714285714,0.5580357142857143,0.4330357142857143,0.15178571428571427,0.6607142857142857,0.6026785714285714,-0.8890414630422273
Orense SC,198,16.647466930578616,15.305358719884484,19.90371752212954,10.95156947577718,8.95214804635236,-0.5705563054943739,5.666147975771289,0.47474747474747475,0.6565656565656566,0.18181818181818182,0.06565656565656566,0.045454545454545456,0.46464646464646464,0.5151515151515151,0.09090909090909091,0.6111111111111112,0.5202020202020202,-1.1706088271312751
CSD Independiente del Valle,150,16.325644745608873,15.031170539047878,21.09204299669512,11.883035381625126,9.209007615069993,0.36155913979433585,6.145580287261714,0.3466666666666667,0.52,0.17333333333333334,0.15333333333333332,0.1,0.37333333333333335,0.6066666666666667,0.06,0.47333333333333333,0.5,-1.1737327628330785
Mushuc Runa SC,191,14.78528266459087,11.487072254879877,18.490518233041815,10.472094975994183,8.018423257047631,-0.6018943634666343,4.259061483274633,0.5026178010471204,0.612565445026178,0.1099476439790576,0.08900523560209424,0.05235602094240838,0.4869109947643979,0.4816753926701571,0.08900523560209424,0.5916230366492147,0.5026178010471204,-1.312770882078877
CD Cuenca,196,14.960972366512724,12.99949137454005,18.99806551194897,11.554530160438873,7.443535351510097,-0.8174222775567676,4.517750663302852,0.3877551020408163,0.46938775510204084,0.08163265306122448,0.15306122448979592,0.1377551020408163,0.4897959183673469,0.4846938775510204,0.0663265306122449,0.6173469387755102,0.576530612244898,-1.5080838796710023
CS Emelec,202,16.79315186284013,13.845234097209703,21.326044113686986,12.38864603705324,8.937398076633746,0.4295693733698843,5.45495368595405,0.4405940594059406,0.6039603960396039,0.16336633663366337,0.15841584158415842,0.10396039603960396,0.4504950495049505,0.5396039603960396,0.13366336633663367,0.6485148514851485,0.5148514851485149,-1.8963503222040536
Libertad Fútbol Club,194,15.564266157738935,13.204383283905536,18.50345174063308,11.40021179316765,7.103239947465428,-1.0089414459306039,3.6060937386574903,0.4381443298969072,0.5670103092783505,0.12886597938144329,0.05670103092783505,0.07216494845360824,0.4793814432989691,0.5051546391752577,0.08247422680412371,0.5773195876288659,0.4948453608247423,-1.9693305386116924
