player_id,player,team,role,rank,similar_player_id,similar_player,similar_team,similarity
1ftsi7wqe7zcrmzvk9m8d5el0,R. Borja,Leones FC,Ball-Winner / Stopper,1,f2u5upcopb9zg84ajapcecy6s,M. Lugo,Barcelona SC,0.627
1ftsi7wqe7zcrmzvk9m8d5el0,R. Borja,Leones FC,Ball-Winner / Stopper,2,5t1zsk9kamjebuvv1yl34aga1,M. Maccari,CD Cuenca,0.4894
1ftsi7wqe7zcrmzvk9m8d5el0,R. Borja,Leones FC,Ball-Winner / Stopper,3,daz411lyiqzu6dhkrjeev7zf8,T. Coppo,Leones FC,0.4851
1ftsi7wqe7zcrmzvk9m8d5el0,R. Borja,Leones FC,Ball-Winner / Stopper,4,65attw5qx5xj8ekiu5iqtj4yd,J. Cevallos,CS Emelec,0.4136
1ftsi7wqe7zcrmzvk9m8d5el0,R. Borja,Leones FC,Ball-Winner / Stopper,5,9g0ayzj8zkxakzvk0w6hor9qs,B. Kreiman,Leones FC,0.3521
1ftsi7wqe7zcrmzvk9m8d5el0,R. Borja,Leones FC,Ball-Winner / Stopper,6,461453uxbydo50nz8jgit1h7u,I. Guerrico,CS Emelec,0.35
1ftsi7wqe7zcrmzvk9m8d5el0,R. Borja,Leones FC,Ball-Winner / Stopper,7,7b46q7wczdj7wku3dljr05uc5,J. Cazares,CSD Macará,0.317
1ftsi7wqe7zcrmzvk9m8d5el0,R. Borja,Leones FC,Ball-Winner / Stopper,8,6ert2g23gsp8d1gmhiiqurkes,Y. Erique,CD Cuenca,0.2614
1ftsi7wqe7zcrmzvk9m8d5el0,R. Borja,Leones FC,Ball-Winner / Stopper,9,cchjht9k105ahfv8fs5h5rac4,B. Ramírez,Manta FC,0.2592
1ftsi7wqe7zcrmzvk9m8d5el0,R. Borja,Leones FC,Ball-Winner / Stopper,10,78l1rwvsx7po2qsw9oibzajmx,D. Cabezas,Libertad Fútbol Club,0.2564
1kg0a71ryvy9641bml2ykgwt0,G. Heredia,Delfín SC,Ball-Winner / Stopper,1,9cqb998nx6bqbb6zw4mmmimwa,F. Perinciolo,Delfín SC,0.7518
1kg0a71ryvy9641bml2ykgwt0,G. Heredia,Delfín SC,Ball-Winner / Stopper,2,91ljjxzlo05v5p0wi2u4q66ll,K. Ushiña,Delfín SC,0.7229
1kg0a71ryvy9641bml2ykgwt0,G. Heredia,Delfín SC,Ball-Winner / Stopper,3,67po6omu9d6depk46axzcy7yt,H. Batalla,Libertad Fútbol Club,0.6607
1kg0a71ryvy9641bml2ykgwt0,G. Heredia,Delfín SC,Ball-Winner / Stopper,4,gn5jbp8pgfhr12jxfiaftkwk,L. Castro,Delfín SC,0.6085
1kg0a71ryvy9641bml2ykgwt0,G. Heredia,Delfín SC,Ball-Winner / Stopper,5,lyw9kr0r5giargpspli73d91,J. Cavallaro,Delfín SC,0.5835
1kg0a71ryvy9641bml2ykgwt0,G. Heredia,Delfín SC,Ball-Winner / Stopper,6,8gy8s9ea67vkmgdce51oif089,A. Naula,Guayaquil City FC,0.5017
1kg0a71ryvy9641bml2ykgwt0,G. Heredia,Delfín SC,Ball-Winner / Stopper,7,2f0sxlzvrg4z9uipi4wvr44d0,M. de la Cruz,Leones FC,0.4961
1kg0a71ryvy9641bml2ykgwt0,G. Heredia,Delfín SC,Ball-Winner / Stopper,8,50bycn35z1ts5hb156k146u50,J. Chalá,Manta FC,0.4503
1kg0a71ryvy9641bml2ykgwt0,G. Heredia,Delfín SC,Ball-Winner / Stopper,9,2h4eos89vmme3eicv98m2997t,J. Jiménez,Manta FC,0.4467
1kg0a71ryvy9641bml2ykgwt0,G. Heredia,Delfín SC,Ball-Winner / Stopper,10,bfsjxpmiflhdz2162ulqlo0lw,J. Valverde,Delfín SC,0.4174
2cmnkc4qhbp58l4n10rcb6al0,C. Valencia,Libertad Fútbol Club,Ball-Winner / Stopper,1,cf36yl6dep780v76ygc5kqqui,J. Estacio,CSD Macará,0.68
2cmnkc4qhbp58l4n10rcb6al0,C. Valencia,Libertad Fútbol Club,Ball-Winner / Stopper,2,3lz2li4ohdy8qok9i8xexuvx0,B. Corozo,Libertad Fútbol Club,0.6662
2cmnkc4qhbp58l4n10rcb6al0,C. Valencia,Libertad Fútbol Club,Ball-Winner / Stopper,3,6jhr91d1ygvu4qmk4195lyhhw,J. González,Mushuc Runa SC,0.6535
2cmnkc4qhbp58l4n10rcb6al0,C. Valencia,Libertad Fútbol Club,Ball-Winner / Stopper,4,f2u5upcopb9zg84ajapcecy6s,M. Lugo,Barcelona SC,0.6271
2cmnkc4qhbp58l4n10rcb6al0,C. Valencia,Libertad Fútbol Club,Ball-Winner / Stopper,5,7b46q7wczdj7wku3dljr05uc5,J. Cazares,CSD Macará,0.6067
2cmnkc4qhbp58l4n10rcb6al0,C. Valencia,Libertad Fútbol Club,Ball-Winner / Stopper,6,bpsts2bw6gw3wjebjyxjjuqui,B. García,CD Cuenca,0.5148
2cmnkc4qhbp58l4n10rcb6al0,C. Valencia,Libertad Fútbol Club,Ball-Winner / Stopper,7,6rkmmvmaiihg4un5jzq5caqs4,Á. Rangel,Barcelona SC,0.4817
2cmnkc4qhbp58l4n10rcb6al0,C. Valencia,Libertad Fútbol Club,Ball-Winner / Stopper,8,5t1zsk9kamjebuvv1yl34aga1,M. Maccari,CD Cuenca,0.3966
2cmnkc4qhbp58l4n10rcb6al0,C. Valencia,Libertad Fútbol Club,Ball-Winner / Stopper,9,9g0ayzj8zkxakzvk0w6hor9qs,B. Kreiman,Leones FC,0.3907
2cmnkc4qhbp58l4n10rcb6al0,C. Valencia,Libertad Fútbol Club,Ball-Winner / Stopper,10,c0wyvmrq61yzugvdt2qnneoes,A. Mosquera,CD Cuenca,0.3044
2f0sxlzvrg4z9uipi4wvr44d0,M. de la Cruz,Leones FC,Ball-Winner / Stopper,1,67po6omu9d6depk46axzcy7yt,H. Batalla,Libertad Fútbol Club,0.6933
2f0sxlzvrg4z9uipi4wvr44d0,M. de la Cruz,Leones FC,Ball-Winner / Stopper,2,gn5jbp8pgfhr12jxfiaftkwk,L. Castro,Delfín SC,0.5945
2f0sxlzvrg4z9uipi4wvr44d0,M. de la Cruz,Leones FC,Ball-Winner / Stopper,3,9cqb998nx6bqbb6zw4mmmimwa,F. Perinciolo,Delfín SC,0.5861
2f0sxlzvrg4z9uipi4wvr44d0,M. de la Cruz,Leones FC,Ball-Winner / Stopper,4,50bycn35z1ts5hb156k146u50,J. Chalá,Manta FC,0.551
2f0sxlzvrg4z9uipi4wvr44d0,M. de la Cruz,Leones FC,Ball-Winner / Stopper,5,677337y7ae2lsr9tvlaaxcfyt,C. Arboleda,CD Cuenca,0.5444
2f0sxlzvrg4z9uipi4wvr44d0,M. de la Cruz,Leones FC,Ball-Winner / Stopper,6,1kg0a71ryvy9641bml2ykgwt0,G. Heredia,Delfín SC,0.4961
2f0sxlzvrg4z9uipi4wvr44d0,M. de la Cruz,Leones FC,Ball-Winner / Stopper,7,38q8apztbt3nuku8x15mc4wdl,J. Hernández,Mushuc Runa SC,0.4491
2f0sxlzvrg4z9uipi4wvr44d0,M. de la Cruz,Leones FC,Ball-Winner / Stopper,8,87y2pbc5qjlw6l77sqoxd21p0,R. Arroyo,Leones FC,0.3682
2f0sxlzvrg4z9uipi4wvr44d0,M. de la Cruz,Leones FC,Ball-Winner / Stopper,9,daz411lyiqzu6dhkrjeev7zf8,T. Coppo,Leones FC,0.3529
