season,match_file,date,match,home_team,away_team,home_goals,away_goals,match_length,events
Ecuador 2026,2026-02-20_Orense SC - Liga Deportiva Universitaria de Quito.json,2026-02-20,Orense SC - Liga Deportiva Universitaria de Quito,Orense SC,Liga Deportiva Universitaria de Quito,1,2,102.68333333333334,1613
Ecuador 2026,2026-02-21_Barcelona SC - CD Técnico Universitario.json,2026-02-21,Barcelona SC - CD Técnico Universitario,Barcelona SC,CD Técnico Universitario,1,0,100.56666666666666,1521
Ecuador 2026,2026-02-21_SD Aucas - Mushuc Runa SC.json,2026-02-21,SD Aucas - Mushuc Runa SC,SD Aucas,Mushuc Runa SC,1,1,106.8,1530
Ecuador 2026,2026-02-22_CSD Independiente del Valle - Guayaquil City FC.json,2026-02-22,CSD Independiente del Valle - Guayaquil City FC,CSD Independiente del Valle,Guayaquil City FC,2,0,95.9,1537
Ecuador 2026,2026-02-22_CSD Macará - Leones FC.json,2026-02-22,CSD Macará - Leones FC,CSD Macará,Leones FC,0,0,102.83333333333333,1504
Ecuador 2026,2026-02-22_Delfín SC - CD Cuenca.json,2026-02-22,Delfín SC - CD Cuenca,Delfín SC,CD Cuenca,1,0,99.33333333333333,1491
Ecuador 2026,2026-02-23_Libertad Fútbol Club - Manta FC.json,2026-02-23,Libertad Fútbol Club - Manta FC,Libertad Fútbol Club,Manta FC,1,0,100.3,1449
Ecuador 2026,2026-02-27_CD Técnico Universitario - Orense SC.json,2026-02-27,CD Técnico Universitario - Orense SC,CD Técnico Universitario,Orense SC,1,1,101.15,1458
Ecuador 2026,2026-02-28_CS Emelec - Delfín SC.json,2026-02-28,CS Emelec - Delfín SC,CS Emelec,Delfín SC,1,1,102.66666666666667,1564
Ecuador 2026,2026-02-28_Guayaquil City FC - SD Aucas.json,2026-02-28,Guayaquil City FC - SD Aucas,Guayaquil City FC,SD Aucas,1,1,105.63333333333334,1612
Ecuador 2026,2026-02-28_Leones FC - Libertad Fútbol Club.json,2026-02-28,Leones FC - Libertad Fútbol Club,Leones FC,Libertad Fútbol Club,1,1,99.98333333333333,1631
Ecuador 2026,2026-03-01_CD Cuenca - Barcelona SC.json,2026-03-01,CD Cuenca - Barcelona SC,CD Cuenca,Barcelona SC,2,1,103.66666666666667,1397
Ecuador 2026,2026-03-01_Liga Deportiva Universitaria de Quito - CSD Macará.json,2026-03-01,Liga Deportiva Universitaria de Quito - CSD Macará,Liga Deportiva Universitaria de Quito,CSD Macará,0,2,104.91666666666667,1631
Ecuador 2026,2026-03-01_Mushuc Runa SC - CD Universidad Católica del Ecuador.json,2026-03-01,Mushuc Runa SC - CD Universidad Católica del Ecuador,Mushuc Runa SC,CD Universidad Católica del Ecuador,0,0,102.28333333333333,1513
Ecuador 2026,2026-03-02_Manta FC - CSD Independiente del Valle.json,2026-03-02,Manta FC - CSD Independiente del Valle,Manta FC,CSD Independiente del Valle,0,2,96.16666666666667,1623
Ecuador 2026,2026-03-06_Delfín SC - Guayaquil City FC.json,2026-03-06,Delfín SC - Guayaquil City FC,Delfín SC,Guayaquil City FC,1,0,101.68333333333334,1603
Ecuador 2026,2026-03-07_Barcelona SC - CS Emelec.json,2026-03-07,Barcelona SC - CS Emelec,Barcelona SC,CS Emelec,1,0,101.01666666666667,1719
Ecuador 2026,2026-03-07_CSD Independiente del Valle - Mushuc Runa SC.json,2026-03-07,CSD Independiente del Valle - Mushuc Runa SC,CSD Independiente del Valle,Mushuc Runa SC,3,1,105.28333333333333,1462
Ecuador 2026,2026-03-07_Libertad Fútbol Club - Liga Deportiva Universitaria de Quito.json,2026-03-07,Libertad Fútbol Club - Liga Deportiva Universitaria de Quito,Libertad Fútbol Club,Liga Deportiva Universitaria de Quito,2,1,101.46666666666667,1538
Ecuador 2026,2026-03-08_CD Universidad Católica del Ecuador - Leones FC.json,2026-03-08,CD Universidad Católica del Ecuador - Leones FC,CD Universidad Católica del Ecuador,Leones FC,3,0,98.76666666666667,1628
Ecuador 2026,2026-03-08_CSD Macará - CD Técnico Universitario.json,2026-03-08,CSD Macará - CD Técnico Universitario,CSD Macará,CD Técnico Universitario,1,1,102.83333333333333,1518
