zone,actions,xg,xt,danger,touches,shots,goals
middle_left,29081,0.06,932.6972284456236,441.16069643887863,29081,6,0
middle_right,30332,0.1,863.317372711376,430.17670583831796,30332,10,0
middle_central,25270,0.31,408.7969851495396,322.735180794377,25270,31,0
box,9444,130.49857237282686,-14.953499916024972,243.62857237282685,9444,1902,241
defensive_central,31292,0.07,489.0417705892673,181.9910533322631,31292,7,7
central_final_third,13797,17.31398985032901,5.426773039765304,130.4563725693216,13797,1470,48
attacking_left,11556,0.15,-16.097832038475218,93.46940152279866,11556,15,0
defensive_left,27679,0.01,252.12239600870996,92.72398840031967,25155,1,1
defensive_right,18043,0.01,244.33996136526608,90.63399840470916,18043,1,0
attacking_right,11642,0.35000000000000003,-63.175722294334626,86.88198967011675,11642,35,2
