metric,family,description
accelerations,other,accelerations
accelerations_p90,other,accelerations p90
accurate_back_pass_pct,possession,accurate back pass pct
accurate_back_passes,possession,accurate back passes
accurate_back_passes_p90,possession,accurate back passes p90
accurate_crosses,other,accurate crosses
accurate_crosses_p90,other,accurate crosses p90
accurate_forward_pass_pct,possession,accurate forward pass pct
accurate_forward_passes,possession,accurate forward passes
accurate_forward_passes_p90,possession,accurate forward passes p90
accurate_lateral_pass_pct,possession,accurate lateral pass pct
accurate_lateral_passes,possession,accurate lateral passes
accurate_lateral_passes_p90,possession,accurate lateral passes p90
accurate_left_flank_cross_pct,other,accurate left flank cross pct
accurate_left_flank_crosses,other,accurate left flank crosses
accurate_left_flank_crosses_p90,other,accurate left flank crosses p90
accurate_long_pass_pct,possession,accurate long pass pct
accurate_long_passes,possession,accurate long passes
accurate_long_passes_p90,possession,accurate long passes p90
accurate_right_flank_cross_pct,other,accurate right flank cross pct
accurate_right_flank_crosses,other,accurate right flank crosses
accurate_right_flank_crosses_p90,other,accurate right flank crosses p90
accurate_short_medium_pass_pct,possession,accurate short medium pass pct
accurate_short_medium_passes,possession,accurate short medium passes
accurate_short_medium_passes_p90,possession,accurate short medium passes p90
accurate_smart_pass_pct,possession,accurate smart pass pct
accurate_smart_passes,possession,accurate smart passes
accurate_smart_passes_p90,possession,accurate smart passes p90
accurate_through_pass_pct,possession,accurate through pass pct
accurate_through_passes,possession,accurate through passes
accurate_through_passes_p90,possession,accurate through passes p90
action_gda,goal_difference_added,action gda
action_gda_p90,goal_difference_added,action gda p90
actions,other,actions
aerial_win_pct,defending,aerial win pct
aerials,defending,aerials
aerials_p90,defending,aerials p90
aerials_won,defending,aerials won
archetype,identity,archetype
assists,other,assists
assists_p90,other,assists p90
attacking_index,model_index,attacking index
attacking_index_pctile,model_index,attacking index pctile
availability_score,model_index,availability score
avg_long_pass_length,possession,avg long pass length
avg_long_pass_length_sum,possession,avg long pass length sum
avg_pass_length,possession,avg pass length
avg_pass_length_sum,possession,avg pass length sum
avg_touch_share,other,avg touch share
backward_passes,possession,backward passes
backward_passes_p90,possession,backward passes p90
ball_winner_index,model_index,ball winner index
ball_winner_index_pctile,model_index,ball winner index pctile
blocked_or_saved_shots,shooting,blocked or saved shots
blocks,other,blocks
blocks_p90,other,blocks p90
box_def_actions,defending,box def actions
box_def_actions_p90,defending,box def actions p90
box_defender_index,defending,box defender index
box_defender_index_pctile,defending,box defender index pctile
box_delivery_index,model_index,box delivery index
box_delivery_index_pctile,model_index,box delivery index pctile
box_entries,other,box entries
box_entries_p90,other,box entries p90
box_entry_rate_from_final3,progression,box entry rate from final3
box_presence_index,model_index,box presence index
box_presence_index_pctile,model_index,box presence index pctile
box_pressure,defending,box pressure
box_pressure_pm,defending,box pressure pm
box_touch_share,other,box touch share
box_touches,other,box touches
box_touches_p90,other,box touches p90
cards,other,cards
carries,other,carries
carries_p90,other,carries p90
carry_distance,progression,carry distance
carry_progression_share,progression,carry progression share
carry_xt,progression,carry xt
carry_xt_p90,progression,carry xt p90
carry_xt_positive,progression,carry xt positive
central_touch_share,other,central touch share
central_touches,other,central touches
central_touches_p90,other,central touches p90
chain_xt,progression,chain xt
chain_xt_p90,progression,chain xt p90
chance_quality_index,model_index,chance quality index
chance_quality_index_pctile,model_index,chance quality index pctile
chaos_creator_index,model_index,chaos creator index
chaos_creator_index_pctile,model_index,chaos creator index pctile
claims,other,claims
claims_p90,other,claims p90
clean_sheets,other,clean sheets
clean_sheets_p90,other,clean sheets p90
clearances,defending,clearances
clearances_p90,defending,clearances p90
completed_passes,possession,completed passes
completed_passes_p90,possession,completed passes p90
completed_set_piece_passes,set_pieces,completed set piece passes
completed_set_piece_passes_p90,set_pieces,completed set piece passes p90
conceded_goals,shooting,conceded goals
conceded_goals_p90,shooting,conceded goals p90
connector_index,model_index,connector index
connector_index_pctile,model_index,connector index pctile
control_index,possession,control index
control_value,possession,control value
control_value_p90,possession,control value p90
corner_crosses,set_pieces,corner crosses
corner_crosses_p90,set_pieces,corner crosses p90
corner_first_phase_actions,set_pieces,corner first phase actions
corner_first_phase_actions_p90,set_pieces,corner first phase actions p90
corner_first_phase_goals,set_pieces,corner first phase goals
corner_first_phase_goals_p90,set_pieces,corner first phase goals p90
corner_first_phase_shots,set_pieces,corner first phase shots
corner_first_phase_shots_p90,set_pieces,corner first phase shots p90
corner_first_phase_xg,set_pieces,corner first phase xg
corner_first_phase_xg_p90,set_pieces,corner first phase xg p90
corner_goal_rate,set_pieces,corner goal rate
corner_goals,set_pieces,corner goals
corner_goals_p90,set_pieces,corner goals p90
corner_phase_actions,set_pieces,corner phase actions
corner_phase_actions_p90,set_pieces,corner phase actions p90
corner_second_phase_actions,set_pieces,corner second phase actions
corner_second_phase_actions_p90,set_pieces,corner second phase actions p90
corner_second_phase_goals,set_pieces,corner second phase goals
corner_second_phase_goals_p90,set_pieces,corner second phase goals p90
corner_second_phase_shots,set_pieces,corner second phase shots
corner_second_phase_shots_p90,set_pieces,corner second phase shots p90
corner_second_phase_xg,set_pieces,corner second phase xg
corner_second_phase_xg_p90,set_pieces,corner second phase xg p90
corner_second_phase_xg_share,set_pieces,corner second phase xg share
corner_shots,set_pieces,corner shots
corner_shots_p90,set_pieces,corner shots p90
corner_threat_index,set_pieces,corner threat index
corner_threat_index_pctile,set_pieces,corner threat index pctile
corner_xg,set_pieces,corner xg
corner_xg_p90,set_pieces,corner xg p90
corner_xg_per_corner,set_pieces,corner xg per corner
corners,set_pieces,corners
corners_p90,set_pieces,corners p90
counter_threat_actions,other,counter threat actions
counter_threat_actions_p90,other,counter threat actions p90
counterpress_regains,other,counterpress regains
counterpress_regains_p90,other,counterpress regains p90
creative_engine_index,model_index,creative engine index
creative_engine_index_pctile,model_index,creative engine index pctile
cross_accuracy,other,cross accuracy
cross_threat,other,cross threat
cross_threat_p90,other,cross threat p90
cross_threat_per_cross,other,cross threat per cross
cross_xt,progression,cross xt
cross_xt_p90,progression,cross xt p90
cross_xt_per_cross,progression,cross xt per cross
crosses,other,crosses
crosses_into_box,other,crosses into box
crosses_into_box_p90,other,crosses into box p90
crosses_p90,other,crosses p90
crosses_to_goalie_box,shooting,crosses to goalie box
crosses_to_goalie_box_p90,shooting,crosses to goalie box p90
crossing_value_index,model_index,crossing value index
crossing_value_index_pctile,model_index,crossing value index pctile
cutback_share,other,cutback share
cutbacks,other,cutbacks
cutbacks_p90,other,cutbacks p90
danger,other,danger
danger_p90,other,danger p90
danger_per100_actions,other,danger per100 actions
danger_per_action,other,danger per action
danger_per_touch,other,danger per touch
date,identity,date
dead_ball_threat_index,set_pieces,dead ball threat index
dead_ball_threat_index_pctile,set_pieces,dead ball threat index pctile
deep_completed_crosses,other,deep completed crosses
deep_completed_crosses_p90,other,deep completed crosses p90
deep_completions,other,deep completions
deep_completions_p90,other,deep completions p90
deep_crosses,other,deep crosses
deep_crosses_p90,other,deep crosses p90
deep_touches,other,deep touches
deep_touches_p90,other,deep touches p90
def_action_share,defending,def action share
def_actions,defending,def actions
def_actions_p90,defending,def actions p90
def_third_action_share,defending,def third action share
defensive_duel_index,defending,defensive duel index
defensive_duel_index_pctile,defending,defensive duel index pctile
defensive_duel_win_pct,defending,defensive duel win pct
defensive_duels,defending,defensive duels
defensive_duels_p90,defending,defensive duels p90
defensive_duels_won,defending,defensive duels won
defensive_duels_won_p90,defending,defensive duels won p90
defensive_index,defending,defensive index
defensive_index_pctile,defending,defensive index pctile
defensive_range_index,defending,defensive range index
defensive_range_index_pctile,defending,defensive range index pctile
defensive_security_index,possession,defensive security index
defensive_security_index_pctile,possession,defensive security index pctile
defensive_third_def_actions,defending,defensive third def actions
defensive_third_def_actions_p90,defending,defensive third def actions p90
direct_free_kick_on_target_pct,other,direct free kick on target pct
direct_free_kicks,other,direct free kicks
direct_free_kicks_on_target,other,direct free kicks on target
direct_free_kicks_on_target_p90,other,direct free kicks on target p90
direct_free_kicks_p90,other,direct free kicks p90
directness_index,model_index,directness index
directness_index_pctile,model_index,directness index pctile
dispossessed,other,dispossessed
disruption_index,xdisruption,disruption index
disruption_index_pctile,xdisruption,disruption index pctile
duel_win_pct,other,duel win pct
duels,other,duels
duels_p90,other,duels p90
duels_won,other,duels won
early_crosses,other,early crosses
early_crosses_p90,other,early crosses p90
end_minute,other,end minute
failed_take_ons,other,failed take ons
field_tilt,other,field tilt
field_tilt_touch,other,field tilt touch
field_tilt_touch_p90,other,field tilt touch p90
final3_entries,other,final3 entries
final3_entries_p90,other,final3 entries p90
final3_touch_share,other,final3 touch share
final3_touches,other,final3 touches
final3_touches_p90,other,final3 touches p90
final_third_def_actions,defending,final third def actions
final_third_def_actions_p90,defending,final third def actions p90
finisher_index,shooting,finisher index
finisher_index_pctile,shooting,finisher index pctile
finishing_ratio,shooting,finishing ratio
forward_pass_pct,possession,forward pass pct
forward_passes,possession,forward passes
forward_passes_p90,possession,forward passes p90
fouled,other,fouled
fouled_p90,other,fouled p90
fouls,other,fouls
fouls_p90,other,fouls p90
free_kick_crosses,other,free kick crosses
free_kick_crosses_p90,other,free kick crosses p90
free_kicks,other,free kicks
free_kicks_p90,other,free kicks p90
