cross_zone,n,mean_gap,mean_actual,mean_predicted
left_own_half_or_middle_third,7,7.255882450931517,21.847395748461004,14.59151329752949
right_own_half_or_middle_third,23,10.189521960287719,22.391136497801934,12.201614537514219
left_attacking_third_close_to_byline,144,10.68309763236514,22.52149217842577,11.838394546060632
right_attacking_third_close_to_byline,160,11.191599340821075,23.24609003118877,12.054490690367698
right_attacking_third_far,202,11.682135700743126,24.01113243928866,12.32899673854553
left_attacking_third_far,221,11.888291690601754,24.15275133526131,12.264459644659556
