match,minute,crossing_team,crosser,cross_x,cross_y,cross_end_x,cross_end_y,body_part,wide_channel,clearing_team,clearing_player,clr_start_x,clr_start_y,landing_x,landing_y,pred_landing_x,pred_landing_y,actual_distance,predicted_distance,gap
2026-03-15_Guayaquil City FC - Barcelona SC,48,Barcelona SC,W. Vargas,81.8,9.5,90.8,51.0,right_foot,left,Guayaquil City FC,J. Ayoví,11.1,40.1,14.7,44.6,22.679542549595435,36.038735809059,5.762811813689563,12.271090924873421,-6.5082791111838585
2026-06-01_CD Técnico Universitario - Barcelona SC,93,Barcelona SC,L. Cano,82.5,12.0,88.8,47.6,right_foot,left,CD Técnico Universitario,R. Chila,10.4,43.3,12.8,38.6,21.9699669260891,41.192136634231645,5.277309920783501,11.760409118714533,-6.483099197931032
2026-07-03_CSD Independiente del Valle - Manta FC,38,CSD Independiente del Valle,A. Rodríguez,91.7,15.5,93.0,41.9,right_foot,left,Manta FC,O. Moscarelli,9.8,62.2,4.1,66.0,20.766806470579457,69.02996558149081,6.850547423381578,12.919724223352933,-6.069176799971355
2026-03-15_Mushuc Runa SC - CSD Macará,75,CSD Macará,L. Ayala,89.5,89.9,91.5,41.9,left_foot,right,Mushuc Runa SC,J. Hernández,8.0,59.9,9.8,65.7,18.736369633609343,65.47095395041048,6.072890580275595,12.095667026959816,-6.0227764466842215
2026-05-24_CD Técnico Universitario - Leones FC,78,Leones FC,M. de la Cruz,77.9,94.4,85.9,53.8,left_foot,right,CD Técnico Universitario,Y. Arce,13.9,48.4,14.5,57.1,28.410394082345476,48.409923713528244,8.720665112249183,14.510397475777733,-5.78973236352855
2026-05-15_Liga Deportiva Universitaria de Quito - CD Técnico Universitario,92,Liga Deportiva Universitaria de Quito,R. Redes,84.5,79.7,90.6,57.3,right_foot,right,CD Técnico Universitario,J. Anaya,8.3,43.8,5.8,48.7,19.465484785495946,43.02902802104915,5.5009090157900316,11.19207077745083,-5.691161761660799
2026-04-18_Mushuc Runa SC - CD Técnico Universitario,34,Mushuc Runa SC,J. Hernández,90.1,85.3,94.5,42.5,left_foot,right,CD Técnico Universitario,M. Perea,8.2,60.8,16.0,61.1,19.44017021378319,68.04154235792151,7.805767098754614,13.370914783828008,-5.565147685073394
2026-02-27_CD Técnico Universitario - Orense SC,48,CD Técnico Universitario,J. Bocanegra,77.6,13.3,85.5,49.5,left_foot,left,Orense SC,S. Mina,12.2,55.5,19.5,54.8,23.56265400799187,61.49997829866264,7.333484846919642,12.849499822551707,-5.516014975632064
2026-03-22_Mushuc Runa SC - CS Emelec,20,Mushuc Runa SC,C. Angulo,85.6,10.4,86.8,58.1,right_foot,left,CS Emelec,S. Valencia,11.1,62.7,13.1,56.4,22.899310872404545,61.849458658336914,6.609841147864301,11.829926358076882,-5.220085210212582
2026-04-22_Liga Deportiva Universitaria de Quito - SD Aucas,2,Liga Deportiva Universitaria de Quito,J. Caicedo,84.8,90.6,97.3,35.7,left_foot,right,SD Aucas,S. Morales,3.5,73.3,0.0,76.0,12.774298365557994,72.69733727863976,4.420407221060071,9.293858861049538,-4.873451639989467
2026-05-24_CS Emelec - CSD Macará,45,CSD Macará,L. Ayala,89.3,92.8,96.7,41.7,left_foot,right,CS Emelec,I. Guerrico,4.2,61.7,0.0,67.0,15.114209454684,65.62856963366892,6.762396025078683,11.599725315165832,-4.837329290087149
2026-07-04_Libertad Fútbol Club - Leones FC,72,Leones FC,D. Pazmiño,75.2,89.3,85.0,60.5,right_foot,right,Libertad Fútbol Club,C. Valencia,16.4,42.2,22.0,46.6,28.05801974083186,39.85021992348308,7.121797525905943,11.892472017441168,-4.7706744915352255
2026-04-19_CSD Independiente del Valle - Liga Deportiva Universitaria de Quito,43,CSD Independiente del Valle,L. Loor,84.2,91.2,97.0,42.5,left_foot,right,Liga Deportiva Universitaria de Quito,Y. Quiñónez,4.8,61.4,0.0,65.8,13.357756500156318,68.51816472392517,6.511528238439882,11.131193348105153,-4.619665109665271
2026-04-12_CD Técnico Universitario - CD Universidad Católica del Ecuador,55,CD Técnico Universitario,E. Mesa,81.5,9.0,93.6,65.4,right_foot,left,CD Universidad Católica del Ecuador,G. Anangonó,5.4,30.9,0.0,31.6,13.032970941882683,24.516746223726997,5.4451813560247935,9.950285130182397,-4.505103774157604
2026-03-07_Libertad Fútbol Club - Liga Deportiva Universitaria de Quito,49,Libertad Fútbol Club,S. Bueno,92.3,16.5,96.3,64.2,right_foot,left,Liga Deportiva Universitaria de Quito,L. Quiñónez,7.0,41.3,0.0,39.2,16.55801917524995,34.50137760262672,7.308214556237384,11.729322105582714,-4.42110754934533
2026-03-19_SD Aucas - CD Técnico Universitario,77,SD Aucas,L. Arroyo,86.8,7.4,87.8,11.9,right_foot,left,CD Técnico Universitario,M. Cagua,10.9,51.7,15.4,44.1,24.123059299043845,52.44470199629205,8.832326986700618,13.244012922423146,-4.411685935722527
2026-03-22_Barcelona SC - CD Universidad Católica del Ecuador,41,Barcelona SC,J. Quiñónez,79.2,73.8,91.7,50.3,right_foot,right,CD Universidad Católica del Ecuador,L. Cangá,8.1,49.5,4.7,55.0,18.612555634302723,48.11316642837096,6.466065264130884,10.603637739931862,-4.137572475800979
2026-03-02_Manta FC - CSD Independiente del Valle,35,CSD Independiente del Valle,L. Loor,75.5,82.8,89.5,50.9,left_foot,right,Manta FC,M. Ortíz,8.7,47.2,11.8,39.2,21.18751110382034,49.17630202050861,8.57962703152066,12.642930959405842,-4.0633039278851815
2026-05-02_Liga Deportiva Universitaria de Quito - Guayaquil City FC,45,Liga Deportiva Universitaria de Quito,J. Quintero,81.1,12.2,89.9,59.9,other,left,Guayaquil City FC,Y. Rodríguez,6.0,42.7,0.0,40.0,15.778951379421985,38.99336726697455,6.579513659838394,10.457868630779164,-3.8783549709407694
2026-03-07_CSD Independiente del Valle - Mushuc Runa SC,9,CSD Independiente del Valle,L. Loor,80.4,90.5,91.5,52.2,left_foot,right,Mushuc Runa SC,F. Carabalí,13.3,38.8,20.2,41.3,23.472772058282775,34.202807209951295,7.3389372527635075,11.163309227046186,-3.8243719742826787
2026-03-01_Mushuc Runa SC - CD Universidad Católica del Ecuador,42,CD Universidad Católica del Ecuador,G. Anangonó,81.3,8.8,95.2,55.4,right_foot,left,Mushuc Runa SC,K. Peralta,6.9,39.8,0.0,40.1,15.454017317832097,33.414050351597965,6.906518659932804,10.674809843069687,-3.768291183136883
2026-03-02_Manta FC - CSD Independiente del Valle,54,CSD Independiente del Valle,E. Pata,82.4,84.8,89.3,45.4,right_foot,right,Manta FC,M. Ortíz,12.9,50.7,21.3,50.1,24.785250682625634,53.37455829761731,8.42140130857092,12.182464688075507,-3.761063379504588
2026-02-27_CD Técnico Universitario - Orense SC,50,CD Técnico Universitario,M. Perea,91.3,80.8,93.1,44.4,left_foot,right,Orense SC,Ó. Quiñónez,10.4,49.4,15.8,54.0,21.058281852170257,47.75330156742865,7.093659140387281,10.784738650896218,-3.6910795105089367
2026-05-10_Manta FC - CSD Macará,47,CSD Macará,F. Posse,84.2,15.3,90.9,57.0,left_foot,left,Manta FC,I. Cuero,7.8,46.3,0.0,42.4,19.961865103898386,46.75332924343705,8.72066511224918,12.17031101526894,-3.4496459030197606
2026-05-01_CD Universidad Católica del Ecuador - CSD Independiente del Valle,6,CSD Independiente del Valle,J. Sornoza,91.2,92.0,91.6,51.5,right_foot,right,CD Universidad Católica del Ecuador,J. Chancellor,10.4,46.1,17.0,39.7,22.81319238302494,44.9999585924006,9.193475947648961,12.461839199589347,-3.268363251940386
2026-03-14_CSD Independiente del Valle - SD Aucas,91,CSD Independiente del Valle,J. Viacava,67.6,89.9,89.2,52.1,left_foot,right,SD Aucas,J. Ontaneda,11.2,53.6,14.3,42.8,24.123059299043845,47.167873759927176,11.23610252712212,14.435293887373302,-3.199191360251181
2026-05-15_Libertad Fútbol Club - CD Cuenca,91,Libertad Fútbol Club,D. Coronel,81.0,85.7,83.3,79.1,right_foot,right,CD Cuenca,M. Maccari,27.4,50.6,51.3,47.8,54.28693974714033,54.89104161080459,24.0634577731464,27.22720270376689,-3.1637449306204886
2026-04-21_CD Técnico Universitario - CS Emelec,58,CD Técnico Universitario,L. Estupiñán,96.4,88.7,93.7,51.8,right_foot,right,CS Emelec,S. Valencia,9.4,47.0,16.4,53.8,22.08752222633517,44.9253970301594,9.759098319004679,12.856017957603372,-3.0969196385986937
2026-05-02_CD Cuenca - CD Técnico Universitario,81,CD Técnico Universitario,E. Mesa,80.3,23.3,87.3,57.9,left_foot,left,CD Cuenca,P. Boolsen,13.2,41.8,20.7,36.7,23.695594234407828,35.66654294734135,9.06972987469858,12.156347878789212,-3.0866180040906315
2026-05-16_CSD Macará - CSD Independiente del Valle,42,CSD Macará,M. Miranda,87.5,12.7,96.4,69.4,right_foot,left,CSD Independiente del Valle,R. Briones,6.4,38.2,8.3,31.8,14.772785478794894,33.414050351597965,6.67607669218981,9.64410963806189,-2.96803294587208
2026-03-15_Guayaquil City FC - Barcelona SC,97,Barcelona SC,M. Céliz,81.1,8.0,93.2,46.7,right_foot,left,Guayaquil City FC,Y. Rodríguez,8.3,34.6,0.0,30.9,19.132259133873,29.402293162792436,9.087353850269068,12.01474070918425,-2.927386858915183
2026-04-19_CSD Independiente del Valle - Liga Deportiva Universitaria de Quito,72,CSD Independiente del Valle,J. Sornoza,83.6,6.4,92.0,40.9,right_foot,left,Liga Deportiva Universitaria de Quito,L. Quiñónez,7.8,67.2,17.3,63.3,19.50985296809472,73.18098019560163,10.269371937952195,13.14886993754884,-2.8794979995966443
2026-05-03_CSD Macará - Orense SC,79,CSD Macará,L. Espinoza,97.2,15.2,92.2,36.0,right_foot,left,Orense SC,R. Jaramillo,8.8,49.1,12.3,56.1,19.373394246715662,48.11316642837096,7.826237921249264,10.619345855304553,-2.793107934055289
2026-04-19_CSD Independiente del Valle - Liga Deportiva Universitaria de Quito,31,CSD Independiente del Valle,L. Loor,86.1,76.6,87.2,55.2,left_foot,right,Liga Deportiva Universitaria de Quito,L. Quiñónez,5.8,38.5,0.0,33.4,14.990519291461467,33.414050351597965,7.723341245859853,10.503929201627654,-2.7805879557678015
2026-03-14_Delfín SC - Manta FC,29,Delfín SC,M. Reyes,79.1,19.0,81.8,31.3,right_foot,left,Manta FC,M. Ortíz,13.5,50.7,21.7,58.8,27.474817933098173,53.56277590880977,11.52605743522042,14.265027941343257,-2.738970506122838
2026-03-01_Mushuc Runa SC - CD Universidad Católica del Ecuador,50,Mushuc Runa SC,C. Angulo,81.6,11.3,88.7,58.2,right_foot,left,CD Universidad Católica del Ecuador,J. Chancellor,9.6,54.6,17.7,51.3,21.022353855212337,55.71238507092396,8.746427842267952,11.476391773536605,-2.729963931268653
2026-04-26_CSD Macará - Libertad Fútbol Club,25,CSD Macará,J. Klinger,73.9,83.7,92.1,38.2,right_foot,right,Libertad Fútbol Club,J. Rodríguez,9.4,72.1,16.3,69.0,19.31315354681136,74.72590935411843,7.564390259630975,10.2550481802235,-2.6906579205925256
2026-05-24_Delfín SC - Barcelona SC,94,Barcelona SC,G. Vallecilla,63.6,80.2,87.4,43.1,left_foot,right,Delfín SC,M. Burdisso,6.5,53.4,17.2,53.6,19.837363810981145,53.32487832926084,10.701868995647441,13.337575367805204,-2.635706372157763
2026-05-09_SD Aucas - CD Universidad Católica del Ecuador,73,CD Universidad Católica del Ecuador,E. Mejía,65.7,94.4,83.1,49.9,left_foot,right,SD Aucas,A. Mena,16.4,28.9,24.4,25.3,27.28139787697429,25.888623420658337,8.772684879784522,11.290403387816932,-2.5177185080324094
2026-07-04_Barcelona SC - CD Cuenca,78,CD Cuenca,L. Mancinelli,73.9,16.8,84.8,42.8,right_foot,left,Barcelona SC,Á. Rangel,9.1,50.9,9.7,61.5,22.139980074483198,52.216738702515606,10.6169675519896,13.106291662923626,-2.4893241109340263
2026-02-23_Libertad Fútbol Club - Manta FC,50,Libertad Fútbol Club,E. Patta,88.4,11.0,92.0,40.7,right_foot,left,Manta FC,M. Ortíz,7.4,53.6,13.2,59.9,17.885727132829317,56.67545004830121,8.563293758829015,10.927436410418906,-2.3641426515898907
2026-02-21_Barcelona SC - CD Técnico Universitario,69,Barcelona SC,J. Mina,98.6,91.6,96.0,59.7,left_foot,right,CD Técnico Universitario,J. Majao,5.3,39.5,0.0,30.3,13.909422194022753,29.800036960728246,10.617438485811913,12.96963505570491,-2.352196569892996
2026-04-08_CD Universidad Católica del Ecuador - CS Emelec,67,CD Universidad Católica del Ecuador,D. Palacios,85.7,85.4,89.6,51.3,left_foot,right,CS Emelec,A. Leguizamón,7.1,43.7,13.0,49.9,17.202554539557035,39.81732777127865,8.558621384311841,10.822973337323182,-2.2643519530113405
2026-05-31_Guayaquil City FC - CSD Independiente del Valle,47,CSD Independiente del Valle,A. Rodríguez,78.5,21.9,88.8,50.5,right_foot,left,Guayaquil City FC,A. Naula,13.8,38.0,24.4,37.7,26.576536778600826,36.97368475878847,10.604244433244641,12.817691485961214,-2.213447052716573
2026-04-21_Libertad Fútbol Club - Guayaquil City FC,76,Guayaquil City FC,J. Ordóñez,92.2,82.4,96.3,37.1,left_foot,right,Libertad Fútbol Club,J. Rodríguez,6.8,59.4,0.0,60.5,15.009947446443098,62.798865570118586,6.888396039717809,8.88569210793932,-1.9972960682215115
2026-07-03_CSD Independiente del Valle - Manta FC,64,CSD Independiente del Valle,J. Espinoza,74.1,24.2,84.3,46.6,right_foot,left,Manta FC,B. Ramírez,14.3,56.6,25.3,56.6,26.50094778632858,61.07668103064331,11.0,12.996299470804676,-1.9962994708046757
2026-04-22_Barcelona SC - Mushuc Runa SC,31,Barcelona SC,H. Villalba,86.2,76.1,95.6,52.8,right_foot,right,Mushuc Runa SC,B. Negro,8.6,45.6,9.9,52.8,17.47616845905048,42.95632159650296,7.316419889536134,9.261501067027917,-1.9450811774917822
2026-03-15_CS Emelec - Orense SC,13,CS Emelec,F. Pizzini,91.2,6.2,93.9,48.8,right_foot,left,Orense SC,R. Jaramillo,2.6,61.1,0.0,66.9,8.453801893478104,66.98041339032548,6.356099432828286,8.297364536357737,-1.9412651035294513
2026-02-22_Delfín SC - CD Cuenca,13,CD Cuenca,B. García,67.7,22.1,86.4,51.9,right_foot,left,Delfín SC,J. Valverde,13.3,47.3,19.9,54.9,25.046805968109123,48.69704463651883,10.065783625729296,11.82958934912071,-1.763805723391414
2026-02-27_CD Técnico Universitario - Orense SC,23,CD Técnico Universitario,M. Castaño,84.8,18.3,91.1,58.2,right_foot,left,Orense SC,B. Caicedo,13.5,64.0,25.1,65.4,26.27982584006314,68.13672367466285,11.684177335182826,13.432662850785082,-1.7484855156022565
2026-05-02_Barcelona SC - Manta FC,18,Barcelona SC,M. Mejía,87.5,84.4,96.0,34.0,left_foot,right,Manta FC,J. Jiménez,7.4,68.0,0.0,73.4,16.16528839651009,74.4729917436174,9.160785992479033,10.89632519645653,-1.7355392039774973
2026-03-18_Libertad Fútbol Club - Barcelona SC,80,Barcelona SC,J. Mina,86.5,91.1,86.4,43.0,left_foot,right,Libertad Fútbol Club,A. García,12.9,56.3,21.7,52.8,23.695594234407828,59.30499885376062,9.470480452437457,11.206019497800376,-1.7355390453629198
2026-04-23_CD Universidad Católica del Ecuador - CSD Macará,62,CSD Macará,L. Ayala,86.3,87.3,93.5,54.2,left_foot,right,CD Universidad Católica del Ecuador,J. Chancellor,7.2,42.2,9.2,32.7,17.056199752947528,36.56060664520586,9.7082439194738,11.355502233723495,-1.6472583142496955
2026-02-28_Leones FC - Libertad Fútbol Club,24,Leones FC,R. Arroyo,92.9,7.6,93.2,43.0,right_foot,left,Libertad Fútbol Club,A. García,4.6,58.4,13.1,58.1,14.618594989740528,59.91040944523382,8.505292469985967,10.131810413776282,-1.626517943790315
2026-03-02_Manta FC - CSD Independiente del Valle,53,CSD Independiente del Valle,D. Romero,92.4,7.6,93.1,44.8,right_foot,left,Manta FC,M. Ortíz,11.6,55.5,22.3,49.3,23.930189895855698,62.10317841509758,12.366486970841803,13.986977802565947,-1.620490831724144
2026-05-02_CD Cuenca - CD Técnico Universitario,55,CD Técnico Universitario,J. Majao,82.8,91.6,87.5,62.4,left_foot,right,CD Cuenca,A. Mosquera,11.1,35.8,21.4,33.9,23.03340285082604,34.05838810955806,10.473776778220929,12.059822369215551,-1.5860455909946225
2026-02-22_CSD Macará - Leones FC,51,CSD Macará,M. Tello,73.7,26.5,85.7,56.7,right_foot,left,Leones FC,J. Anangonó,18.5,53.1,16.9,44.2,28.944290099966533,54.933282798908415,9.04267659490264,10.603967253487367,-1.5612906585847277
2026-05-02_Barcelona SC - Manta FC,30,Barcelona SC,M. Mejía,84.2,81.6,91.6,43.6,right_foot,right,Manta FC,J. Chalá,8.0,56.8,18.2,54.0,19.252302965190747,61.27505909972474,10.57733425774188,12.109520055166088,-1.5321857974242086
2026-05-15_Liga Deportiva Universitaria de Quito - CD Técnico Universitario,86,Liga Deportiva Universitaria de Quito,L. Quiñónez,63.8,78.3,89.7,47.2,left_foot,right,CD Técnico Universitario,A. Copete,8.0,53.1,11.2,63.9,20.426029907846928,55.472938007679964,11.264102272262976,12.650575246169579,-1.3864729739066028
2026-05-03_Delfín SC - Mushuc Runa SC,26,Mushuc Runa SC,C. Orejuela,94.2,90.8,92.2,42.2,left_foot,right,Delfín SC,L. Castillo,10.6,61.1,0.0,66.0,21.6895201610581,67.98933517376601,11.677756633874504,13.055282323220878,-1.377525689346374
2026-04-05_Manta FC - CD Técnico Universitario,21,Manta FC,A. Medina,82.1,10.3,90.4,46.9,right_foot,left,CD Técnico Universitario,J. Anaya,13.5,54.5,23.5,60.5,26.330609179260954,56.76613358557712,11.661903789690601,13.02919388675355,-1.3672900970629485
2026-04-25_Mushuc Runa SC - CD Cuenca,11,Mushuc Runa SC,K. Peralta,84.2,5.9,92.8,46.9,right_foot,left,CD Cuenca,E. Guevara,22.1,53.0,20.7,61.2,31.511138709931828,55.06631226297146,8.318653737234172,9.635308930474597,-1.3166551932404253
2026-05-15_Liga Deportiva Universitaria de Quito - CD Técnico Universitario,74,Liga Deportiva Universitaria de Quito,R. Redes,85.5,22.1,92.6,53.4,right_foot,left,CD Técnico Universitario,J. Anaya,5.2,48.2,13.4,50.0,14.864062288058143,48.27750702340961,8.395236744726143,9.664373091212147,-1.269136346486004
2026-03-23_SD Aucas - Orense SC,0,SD Aucas,A. Mena,86.3,92.8,87.9,58.5,left_foot,right,Orense SC,R. Jaramillo,21.7,37.9,27.6,37.9,28.167974581682465,34.91566908897412,5.900000000000002,7.123266538309164,-1.2232665383091614
2026-07-01_Liga Deportiva Universitaria de Quito - Orense SC,50,Liga Deportiva Universitaria de Quito,R. Redes,94.3,18.2,91.2,62.4,right_foot,left,Orense SC,P. Velasco,9.3,36.4,0.0,33.1,20.35333041381028,35.488341074543584,9.868130522039117,11.09086269111775,-1.2227321690786326
2026-05-15_Liga Deportiva Universitaria de Quito - CD Técnico Universitario,43,Liga Deportiva Universitaria de Quito,J. Quintero,85.4,12.8,92.5,37.3,right_foot,left,CD Técnico Universitario,A. Copete,10.1,67.7,0.0,71.6,20.614488490219934,73.57081808456911,10.826818553942793,12.042465411744855,-1.2156468578020618
2026-03-18_Libertad Fútbol Club - Barcelona SC,26,Libertad Fútbol Club,A. García,71.2,90.5,90.2,53.3,left_foot,right,Barcelona SC,Á. Rangel,9.3,40.7,16.4,32.5,20.57842119939658,36.48748919454937,10.846658471621572,12.039436533203558,-1.1927780615819863
2026-03-13_CD Técnico Universitario - Libertad Fútbol Club,51,Libertad Fútbol Club,J. Bravo,77.0,8.8,93.2,40.1,left_foot,left,CD Técnico Universitario,J. Anaya,10.2,57.3,21.0,60.0,21.651081935027463,61.82482044855868,11.132385189167685,12.312647057980957,-1.1802618688132718
2026-03-23_SD Aucas - Orense SC,45,Orense SC,S. Vasquez,61.4,14.9,84.5,61.4,right_foot,left,SD Aucas,V. Olaya,13.4,31.4,22.7,38.3,25.638384988444432,27.960058885900825,11.580155439371268,12.712641818042853,-1.1324863786715849
2026-05-09_Guayaquil City FC - CD Cuenca,16,CD Cuenca,M. Díaz,89.3,22.1,89.0,25.2,left_foot,left,Guayaquil City FC,J. Quiñónez,10.5,62.9,14.1,73.5,21.833840437525073,67.7217026208903,11.194641575325225,12.316848429187512,-1.1222068538622878
2026-05-30_Manta FC - Libertad Fútbol Club,2,Manta FC,G. Mina,73.1,89.9,88.9,60.8,left_foot,right,Libertad Fútbol Club,C. Gruezo,13.6,44.2,14.2,56.1,26.35114571113133,41.864738266792955,11.915116449284076,12.963223530784468,-1.0481070815003921
2026-05-03_Leones FC - CS Emelec,94,CS Emelec,R. Caicedo,79.7,5.5,85.8,50.7,right_foot,left,Leones FC,R. Arroyo,9.3,45.1,17.8,57.3,20.381771813277954,33.76085306144704,14.86909546677268,15.855028218696326,-0.9859327519236452
2026-04-05_Leones FC - Delfín SC,16,Delfín SC,J. Cavallaro,74.6,15.0,88.3,46.2,right_foot,left,Leones FC,N. Monserrat,9.4,54.9,10.6,44.2,21.080564863442003,55.62420593990099,10.767079455451228,11.702994051629002,-0.9359145961777742
2026-04-12_CD Cuenca - CSD Independiente del Valle,67,CSD Independiente del Valle,Y. Ochoa,76.0,17.3,95.7,65.1,right_foot,left,CD Cuenca,S. Postel,8.7,33.4,0.0,38.0,17.595455353469543,27.382438817632075,9.841239759298622,10.739654022784498,-0.8984142634858756
2026-04-03_Liga Deportiva Universitaria de Quito - Barcelona SC,82,Liga Deportiva Universitaria de Quito,J. Quintero,74.1,13.1,94.6,74.7,right_foot,left,Barcelona SC,B. Carabalí,1.6,34.6,0.0,23.3,12.083243232846504,28.36306972892888,11.412712210513327,12.198265773675589,-0.7855535631622619
2026-04-19_CSD Independiente del Valle - Liga Deportiva Universitaria de Quito,24,Liga Deportiva Universitaria de Quito,G. Villamíl,80.1,93.0,90.2,57.5,right_foot,right,CSD Independiente del Valle,M. Carabajal,7.3,59.0,11.7,49.6,16.775752987916526,64.2511927357029,10.378824596263296,10.833509119187,-0.45468452292370287
2026-03-14_Liga Deportiva Universitaria de Quito - CD Universidad Católica del Ecuador,37,Liga Deportiva Universitaria de Quito,A. Tobar,77.8,94.8,91.0,50.5,right_foot,right,CD Universidad Católica del Ecuador,J. Chancellor,9.5,46.4,21.2,47.7,21.6947364484437,46.08986827364714,11.77200067957864,12.198679384863423,-0.42667870528478247
2026-04-22_Barcelona SC - Mushuc Runa SC,23,Barcelona SC,H. Villalba,89.8,84.1,90.9,57.5,left_foot,right,Mushuc Runa SC,M. Gamboa,5.8,30.1,14.1,26.5,12.29295800081904,23.213323172044827,9.047098982546837,9.464925849318352,-0.4178268667715148
2026-03-06_Delfín SC - Guayaquil City FC,20,Guayaquil City FC,K. Sambonino,91.7,8.6,90.3,48.3,right_foot,left,Delfín SC,A. Bedoya,8.8,52.3,15.0,62.8,21.18751110382034,54.569059276774475,12.193850909372314,12.59361192624215,-0.3997610168698369
2026-03-01_Liga Deportiva Universitaria de Quito - CSD Macará,39,Liga Deportiva Universitaria de Quito,J. Quintero,79.8,12.9,90.3,35.4,left_foot,left,CSD Macará,J. Marrufo,9.2,60.2,15.1,73.0,21.17930346778153,68.28050800174587,14.094325099131208,14.44985540202675,-0.35553030289554144
2026-04-19_Manta FC - CD Cuenca,94,Manta FC,J. Mina,78.9,8.0,86.8,39.4,right_foot,left,CD Cuenca,M. Piedra,13.6,67.5,20.4,56.6,25.750204518251117,62.3815093323947,12.847178678604886,13.184324652772034,-0.3371459741671483
2026-03-07_Barcelona SC - CS Emelec,87,CS Emelec,R. Caicedo,89.2,15.3,90.3,54.3,right_foot,left,Barcelona SC,M. Lugo,12.4,61.5,23.1,68.9,24.3054501351678,67.3734681320968,13.009611831257692,13.275442396384523,-0.2658305651268318
2026-04-26_Guayaquil City FC - CD Técnico Universitario,95,CD Técnico Universitario,E. Mesa,77.5,13.4,86.7,47.9,right_foot,left,Guayaquil City FC,J. Ayoví,10.9,34.8,23.2,30.3,23.746552605916563,31.19685262803446,13.097327971765841,13.34228559283168,-0.24495762106583818
2026-04-26_Guayaquil City FC - CD Técnico Universitario,97,CD Técnico Universitario,J. Majao,64.4,78.1,86.5,43.1,right_foot,right,Guayaquil City FC,J. Quiñónez,10.3,51.3,16.4,62.1,22.81701839414577,53.09985718438462,12.403628501370076,12.645759580332232,-0.24213107896215647
2026-03-19_CS Emelec - CSD Independiente del Valle,15,CSD Independiente del Valle,E. Pata,76.0,95.1,82.7,52.7,right_foot,right,CS Emelec,A. Leguizamón,14.1,46.6,27.8,47.5,27.979687593690745,48.17606842789061,13.729530217745982,13.96888397073461,-0.23935375298862915
