match,minute,crossing_team,crosser,cross_x,cross_y,cross_end_x,cross_end_y,body_part,wide_channel,clearing_team,clearing_player,clr_start_x,clr_start_y,landing_x,landing_y,pred_landing_x,pred_landing_y,actual_distance,predicted_distance,gap
2026-04-12_Guayaquil City FC - CSD Macará,2,CSD Macará,M. Tello,94.8,7.9,96.1,53.5,right_foot,left,Guayaquil City FC,J. Quiñónez,8.0,47.0,9.6,46.9,20.142660140274412,46.95552394860582,1.6031219541881394,12.142741593287598,-10.539619639099458
2026-04-22_Leones FC - Manta FC,55,Manta FC,J. Troya,97.9,81.8,96.4,67.5,left_foot,right,Leones FC,O. Cabeza,4.4,31.3,4.1,30.7,11.58836386259155,24.254254884429916,0.6708203932499385,10.065540186924485,-9.394719793674547
2026-06-01_Leones FC - CSD Macará,57,CSD Macará,J. Estacio,75.9,14.4,92.0,59.0,left_foot,left,Leones FC,N. Monserrat,12.1,47.4,10.8,44.2,24.785250682625634,48.7852237675418,3.4539832078341046,12.760659456596153,-9.306676248762049
2026-02-22_CSD Independiente del Valle - Guayaquil City FC,19,CSD Independiente del Valle,J. Sornoza,94.1,9.1,87.7,50.0,right_foot,left,Guayaquil City FC,Y. Rodríguez,11.4,45.1,14.6,46.0,23.92470809712542,44.395035683244465,3.324154027718931,12.544532179642957,-9.220378151924026
2026-03-08_CD Universidad Católica del Ecuador - Leones FC,38,CD Universidad Católica del Ecuador,M. Alonso,85.2,13.3,93.5,63.2,right_foot,left,Leones FC,R. Arroyo,8.8,37.3,10.9,32.4,19.40076564525853,27.519704566169224,5.331041174104735,14.423259376392862,-9.092218202288127
2026-03-19_SD Aucas - CD Técnico Universitario,14,SD Aucas,M. Vera,75.9,86.8,85.4,68.8,right_foot,right,CD Técnico Universitario,J. Majao,12.2,35.9,15.4,34.5,23.493308784967486,32.97163920997227,3.4928498393145966,11.666795628157528,-8.173945788842932
2026-03-21_Liga Deportiva Universitaria de Quito - Manta FC,23,Liga Deportiva Universitaria de Quito,A. Alvarado,85.8,88.4,87.3,42.7,right_foot,right,Manta FC,J. Blanco,14.0,56.1,14.0,62.7,27.248665270331397,62.21719266063747,6.600000000000001,14.59270973783287,-7.992709737832868
2026-07-05_Delfín SC - CS Emelec,29,Delfín SC,F. Ayunta,85.0,17.2,84.6,46.0,right_foot,left,CS Emelec,F. León,14.7,45.4,19.8,44.5,27.090611033171772,43.63439926270398,5.178802950489622,12.515773557351473,-7.3369706068618505
2026-04-05_Manta FC - CD Técnico Universitario,27,Manta FC,J. Chalá,87.2,93.0,93.1,70.6,left_foot,right,CD Técnico Universitario,J. Anaya,9.5,33.4,13.3,29.9,20.31593203315861,28.6689880381679,5.166236541235796,11.805374196903076,-6.639137655667279
2026-02-28_Leones FC - Libertad Fútbol Club,25,Libertad Fútbol Club,E. Patta,90.8,3.5,95.9,63.9,right_foot,left,Leones FC,R. Arroyo,4.3,41.5,0.0,30.7,13.734404163432796,25.984839441753003,11.624543001770006,18.158419233710333,-6.533876231940328
