match,team,opponent_team,player,period,minute,second,x,y,end_x,end_y,length,angle,body_part,phase,pull_back,outcome,shot_created,goal_created,cleared,pred_cross_completion,pred_cross_chance_creation,pred_cross_goal_contribution,pred_cross_defended,pred_cross_delivery_value,pred_cross_outcome_multiclass,oof_cross_completion,oof_cross_chance_creation,oof_cross_goal_contribution,oof_cross_defended,oof_cross_delivery_value,oof_cross_outcome_multiclass,is_headed_clearance,clr_start_x,clr_start_y,clr_landing_x,clr_landing_y,pred_clr_landing_x,pred_clr_landing_y,clr_landing_error,clr_distance_gained,wide_channel
2026-02-20_Orense SC - Liga Deportiva Universitaria de Quito,Orense SC,Liga Deportiva Universitaria de Quito,S. Vasquez,1,8,50,96.4,18.2,91.3,65.2,32.4,1.74,right_foot,regular,0,1,0,0,0,0.7448447,0.42733935,0.0032411984,0.33760822,0.013045887,complete_no_shot,0.6363100409507751,0.43963468074798584,0.006962341722100973,0.3695817291736603,0.022390874102711678,incomplete,0,,,,,,,,,left
2026-02-20_Orense SC - Liga Deportiva Universitaria de Quito,Orense SC,Liga Deportiva Universitaria de Quito,P. Velasco,1,9,1,70.9,4.5,76.8,12.3,8.2,0.71,right_foot,regular,0,0,0,0,0,0.0031091238,0.0019406546,5.4672375e-05,0.3348465,-0.0056649996,incomplete,0.002905653091147542,0.0019906244706362486,0.00016391546523664147,0.48124629259109497,0.014523173682391644,incomplete,0,,,,,,,,,left
2026-02-20_Orense SC - Liga Deportiva Universitaria de Quito,Orense SC,Liga Deportiva Universitaria de Quito,D. Armas,1,27,40,71.5,21.3,74.5,23.7,3.5,0.48,right_foot,regular,0,0,0,0,0,0.0020208585,0.0077641653,0.00023195983,0.5983673,-0.0024884744,incomplete,0.003580690361559391,0.02116096206009388,0.00048486850573681295,0.8215799331665039,0.00018567696679383516,incomplete,0,,,,,,,,,left
2026-02-20_Orense SC - Liga Deportiva Universitaria de Quito,Liga Deportiva Universitaria de Quito,Orense SC,J. Caicedo,1,32,19,99.3,74.8,76.8,9.6,50.2,4.22,left_foot,regular,0,1,0,0,0,0.9250283,0.062610045,0.0011178219,0.005937153,0.009924339,complete_no_shot,0.70740807056427,0.05448945611715317,0.0008825053810141981,0.021443292498588562,0.001644689473323524,complete_no_shot,0,,,,,,,,,right
2026-02-20_Orense SC - Liga Deportiva Universitaria de Quito,Liga Deportiva Universitaria de Quito,Orense SC,J. Quintero,1,38,31,87.4,18.5,88.9,57.0,26.2,1.51,right_foot,fast_break,0,1,1,1,0,0.6973176,0.7626887,0.98979014,0.6420272,0.29500407,goal,0.5658004283905029,0.6480834484100342,0.2252502590417862,0.7317357063293457,0.2469974011182785,incomplete,0,,,,,,,,,left
2026-02-20_Orense SC - Liga Deportiva Universitaria de Quito,Orense SC,Liga Deportiva Universitaria de Quito,R. Jaramillo,2,50,46,78.5,88.7,91.0,54.4,26.8,5.22,left_foot,regular,0,0,0,0,1,0.4648339,0.6491982,0.008467706,0.66232055,0.095238954,incomplete,0.3927336633205414,0.5748111605644226,0.004542311187833548,0.6388024687767029,0.07652311027050018,incomplete,1,8.8,45.6,23.9,37.8,22.168381292579742,43.5648393501173,6.01929199163396,15.099999999999998,right
2026-02-20_Orense SC - Liga Deportiva Universitaria de Quito,Orense SC,Liga Deportiva Universitaria de Quito,N. Molina,2,51,6,89.7,90.6,90.2,6.2,57.4,4.72,left_foot,regular,0,1,0,0,0,0.91261905,0.026819622,0.0033753498,0.01649519,0.00194787,complete_no_shot,0.8399829268455505,0.03776713088154793,0.007298471871763468,0.02796446904540062,0.003503302577883005,complete_no_shot,0,,,,,,,,,right
2026-02-20_Orense SC - Liga Deportiva Universitaria de Quito,Orense SC,Liga Deportiva Universitaria de Quito,P. Velasco,2,51,16,90.5,15.2,92.0,38.3,15.8,1.47,right_foot,regular,0,0,0,0,1,0.37707138,0.2956237,0.002564158,0.7749815,0.02399741,incomplete,0.2981840670108795,0.27511006593704224,0.005735492333769798,0.7456339001655579,0.019539883360266685,incomplete,0,,,,,,,,,left
2026-02-20_Orense SC - Liga Deportiva Universitaria de Quito,Orense SC,Liga Deportiva Universitaria de Quito,B. Caicedo,2,56,12,73.2,96.9,86.2,62.6,27.0,5.24,left_foot,regular,0,1,0,0,0,0.66585207,0.13479388,0.00018099479,0.685651,0.0106318975,incomplete,0.36791619658470154,0.160766139626503,0.0003366857999935746,0.7234961986541748,0.038292787969112396,incomplete,0,,,,,,,,,right
2026-02-20_Orense SC - Liga Deportiva Universitaria de Quito,Orense SC,Liga Deportiva Universitaria de Quito,S. Vasquez,2,56,20,94.4,5.2,97.6,46.2,28.1,1.45,right_foot,regular,0,0,0,0,0,0.1081364,0.03561967,0.002135344,0.32670224,0.0089048445,incomplete,0.07932450622320175,0.016988009214401245,0.0071773952804505825,0.4321669340133667,0.04327918589115143,incomplete,0,,,,,,,,,left
