season,shot_assist_player_id,shot_assist_player_name,assisted_shots,assisted_goals,assisted_xg,assisted_psxg
Unknown,acffs01m2p3b4uemzjrp51d9m,C. Tzolis,135,23,15.707555135712028,21.50098820787389
Unknown,19856wqwrmzmvfw9thf0tzrv9,F. Dimarco,94,17,12.510680662468076,15.81791820586659
Unknown,3vtjjrqof5z2tjj84ehadqc45,Bruno Fernandes,136,21,12.056563187390566,14.726637790561654
Eredivisie,enimk3ibb10vk3f8vrmmhq7oq,S. El Karouani,107,12,10.0307227820158,12.80270316801034
Unknown,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,71,11,9.916711999103427,9.430633425014094
Eredivisie,by85t8ssyumcjcks1jx3v96vo,Y. Taha,75,9,9.43188289925456,10.042285090661608
Unknown,cmtcvsy5wgs03nvdomn1ijnpx,P. Pflücke,66,8,9.186653288081288,7.983002246473916
Unknown,6kvtqep8korw8d75n5me0lbmc,K. Yıldız,76,6,9.18052558787167,8.527220344170928
Eredivisie,cx6fxszjvjam6zb3c3p0dd1jo,M. Godts,87,13,9.081399163231254,12.30887177947443
Eredivisie,d4j19ipiaeuetyij08fofgs15,J. Veerman,93,14,8.88773375179153,12.36707131343428
Unknown,7ox43isyywsnrfcd56nm65be,C. De Ketelaere,63,5,8.632102765026502,5.323175969882868
Eredivisie,dwyl0yii553i57u7azfa7d15g,A. Hadj Moussa,70,6,8.202705092728138,7.5199072058312595
Unknown,3n8lo5wm0i7sh0h92abx87hm1,R. Ito,100,5,8.11758597556036,8.915775802917778
Unknown,5lwvt18g3d2qpuce2nqul4cet,L. Provod,55,10,7.905918374657631,8.18135393166449
Unknown,8tc7dcuwdeqbjgt7vw5p38xgq,B. Saka,61,5,7.84797016705852,6.839167546946555
Unknown,85gmjxvy1g5aj1lcizegwuaui,J. Doku,59,5,7.757503770291805,4.241820976603776
Eredivisie,6wwk8y9mklkh8x606ynhe1lp0,S. Ørjasæter,62,6,7.660919286310673,7.432785040000454
Eredivisie,2gsq05yyxwe4f8t79j6d49q6t,I. Perišić,52,12,7.638537865132093,9.433548529399559
Unknown,d542ijpf3j9hdrtt1mfe6vwlx,J. Bowen,45,11,7.632283478858881,7.975964878918603
Unknown,1ehcji0j9s8b0qsj8v5zinjvu,R. Cherki,60,12,7.613116182386875,8.267833943362348
Unknown,d7xmdbhg68ygcowv6pdofgvyt,M. Udol,55,7,7.606967642903328,7.714396967785433
Unknown,3hg08mlhtmex3gjlsyz9ljpih,D. Haspolat,86,4,7.488321861252189,5.739875490311533
Unknown,8shwa0k28rt5duyrhuqza1hhx,F. Thauvin,79,6,7.438648631796241,8.431214417796582
Unknown,earug82pg87gzwvm5yt1yd990,A. Khalaili,61,5,7.338636090862565,6.8611506598535925
Unknown,er6z557ns3jcjhgrsbtmsn6s4,K. Karetsas,66,10,7.326741050928831,7.926431305706501
Eredivisie,aqnr6l3f02hx0soadunxbjcpg,J. Trenskow,69,5,7.235366355627775,7.3653225293383
Unknown,27xj7me8icr5ptta7kwx0kfs9,A. Laurienté,54,9,7.231032740324736,7.446594450506382
Unknown,4eezya3lwcwur6c8s6rl0rzvu,Yéremy Pino,54,3,7.209167249384336,3.227550079813227
Unknown,6aix9yu384pv1caanqiol231l,Pablo Fornals,84,6,7.067157344892621,5.601795302471146
Unknown,c4w6l0ha9pvwljyh3aejqz3yt,J. Clauss,65,6,7.062732096761465,4.718916296958923
Unknown,avh60ensgiwz1qalvn1bbqkfd,D. Szoboszlai,78,7,7.0566770024597645,8.661223524715751
Unknown,1zxwich342p8fholev7ddkwh6,E. Fernández,68,4,6.991846118122339,6.098657117574476
Unknown,8zzjxnppg44txae0mcs6r1ega,Carlos Forbs,61,8,6.974496086942963,6.691912950016558
Unknown,c8u45gxriyq1rup5fpr30xrdh,A. Thomasson,81,9,6.9551431853324175,5.913829663884826
Unknown,3y9nm18as1wxhizq3fyazb2t,T. Hazard,74,7,6.952348295482807,9.242755546350963
Unknown,7mg9ycwc9ay4fdedl0dpp5nca,Flávio Nazinho,57,7,6.762764943763614,7.562737153028138
Unknown,f09fob6aosvvlheynznavew2x,Y. Maziz,62,4,6.733931941911578,5.831484556547366
Unknown,32bc16sg6h58ajxigp7nl1ryt,R. Del Castillo,57,3,6.7072711567161605,6.003894700552337
Unknown,eyra5urhrm92240e7qbll736d,A. Rebić,30,5,6.609540466219187,5.186480454867706
Unknown,902jmc2xafide5kx5f6e9o2qd,M. Pajač,53,5,6.577346628415398,4.94166955165565
Eredivisie,y1ky8sp8scl05mmfr7byy3md,J. Hardeveld,62,7,6.548371620476246,6.664206815417856
Unknown,jyh107tl6vv8bd1pgautj46h,M. Skóraś,64,7,6.546754162758589,6.022334813838825
Unknown,44o5mjglkzqxctz07ust9bcru,E. Le Fée,53,6,6.512250389903784,7.060612845234573
Unknown,6jgocc12bori2wygyu07c082x,D. Rice,62,5,6.503066826611757,6.031003423500806
Unknown,6psklvi66inwws7buzf16yjft,Pedro Neto,53,6,6.4366292003542185,7.262687600334175
Unknown,39gif4xfy8xddarasbsad56ok,A. Güler,70,9,6.408034069463611,8.342554909992032
Unknown,9psfk94nduz6icnuwty5v9all,C. Gakpo,54,5,6.307016188278794,4.968815796542913
Unknown,ditnpqgspoih5ich7c5vn44fe,G. Magnée,73,7,6.234212959185243,6.46564391546417
Unknown,8eh38t4oyyt728co362f6uqqd,Álvaro García,39,5,6.21377582475543,5.780709899030626
Eredivisie,9vf02r3geinhsy732oxyrcacq,I. Saibari,52,8,6.182052433490753,7.408168022753671
Unknown,5e9ilgrz3tzg9kd1gk3yvrahh,K. Mbappé,65,5,6.181388074532151,7.485810276004486
Eredivisie,9zryne6aa951ltubvjo0gk12i,M. Ihattaren,48,10,6.117257593199611,6.442597971414216
Unknown,6kicom9a3lzp49urle78bevl6,M. Greenwood,59,7,6.090825876221061,7.578410368179902
Unknown,1jgi1rhbubqxs5yy3tecs4fai,D. Jurásek,33,6,6.087549816817045,6.104429680854082
