season,match_file,date,match,team_id,team,player_id,player,minutes,saves,claims,keeper_pickups,keeper_sweeper_actions,punches,smothers,penalties_faced,gk_actions,passes,completed_passes,accurate_long_passes,accurate_short_medium_passes,avg_pass_length_sum,xt,pass_value_over_expected,pass_completion_oe,progressive_passes,fouls,cards,losses,ga_on,gf_on,shots_faced,on_target_faced,goals_conceded_run_of_play,psxg_faced,xgot_saved_sum,big_chances_faced,big_chance_goals_conceded,penalties_faced_shots,penalty_saves,penalty_goals_conceded,crosses_faced,errors,goals_conceded,gpae,claim_actions,sweeper_actions_total
Ecuador 2026,2026-02-20_Orense SC - Liga Deportiva Universitaria de Quito.json,2026-02-20,Orense SC - Liga Deportiva Universitaria de Quito,cxb4hqite921i36gwrezdts7c,Orense SC,d7d208zfvkuvjaba38rlcjxl,d7d208zfvkuvjaba38rlcjxl,102.68333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,18,4,1,1.3166321320459247,1.2259359955787659,2,0,0,0,0,25,0.0,1.0,0.31663213204592466,0.0,0.0
Ecuador 2026,2026-02-20_Orense SC - Liga Deportiva Universitaria de Quito.json,2026-02-20,Orense SC - Liga Deportiva Universitaria de Quito,f2yd0yzt0om6qhks9gbowu1d6,Liga Deportiva Universitaria de Quito,7ww4nc2olcox6pyggzepjth0q,7ww4nc2olcox6pyggzepjth0q,102.68333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,8,3,2,1.596966590732336,0.0519480518996715,0,0,0,0,0,7,0.0,2.0,-0.40303340926766396,0.0,0.0
Ecuador 2026,2026-02-21_Barcelona SC - CD Técnico Universitario.json,2026-02-21,Barcelona SC - CD Técnico Universitario,50127xit7gxvh20pvvv2lyh0r,Barcelona SC,8h8jemf6sbtrmykbgc6go4gk5,8h8jemf6sbtrmykbgc6go4gk5,100.56666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,2,0,0.6182356178760529,0.7527472823858261,0,0,0,0,0,14,0.0,0.0,0.6182356178760529,0.0,0.0
Ecuador 2026,2026-02-21_Barcelona SC - CD Técnico Universitario.json,2026-02-21,Barcelona SC - CD Técnico Universitario,ejshnwzjsikkdhm6ynf40xik5,CD Técnico Universitario,1ey2z21drmkif486uuu6ytqms,1ey2z21drmkif486uuu6ytqms,100.56666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10,2,1,0.7564785182476044,0.1565836369991302,2,1,0,0,0,27,1.0,1.0,-0.24352148175239563,0.0,0.0
Ecuador 2026,2026-02-21_SD Aucas - Mushuc Runa SC.json,2026-02-21,SD Aucas - Mushuc Runa SC,6ov7iz5ful0e0g2epaydpzzn,Mushuc Runa SC,ds6cj14h4ho2iftn5k6qtwqcq,ds6cj14h4ho2iftn5k6qtwqcq,106.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7,3,1,1.3227685372903943,0.564216861501336,2,1,1,0,1,16,0.0,1.0,0.32276853729039434,0.0,0.0
Ecuador 2026,2026-02-21_SD Aucas - Mushuc Runa SC.json,2026-02-21,SD Aucas - Mushuc Runa SC,6qtl2ep6r5k1m3y6t8uh57y0g,SD Aucas,yfktjm0jc09skdfddl3ndyvp,yfktjm0jc09skdfddl3ndyvp,106.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15,5,1,1.672017227858305,0.5501944590359925,2,1,0,0,0,18,0.0,1.0,0.672017227858305,0.0,0.0
Ecuador 2026,2026-02-22_CSD Independiente del Valle - Guayaquil City FC.json,2026-02-22,CSD Independiente del Valle - Guayaquil City FC,a89x9w22vg0m6q3rnlad8qgmt,Guayaquil City FC,9vn5lykm573c0d3pyw1m9bcgl,9vn5lykm573c0d3pyw1m9bcgl,95.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23,8,2,1.4835797995328903,0.8365907408297062,3,1,0,0,0,30,2.0,2.0,-0.5164202004671097,0.0,0.0
Ecuador 2026,2026-02-22_CSD Independiente del Valle - Guayaquil City FC.json,2026-02-22,CSD Independiente del Valle - Guayaquil City FC,ddkiejug4w4ri9ch2fnnen6yw,CSD Independiente del Valle,2v26hk075rpda6nhak16ssc89,2v26hk075rpda6nhak16ssc89,95.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5,1,0,0.0212765950709581,0.0298507455736398,0,0,0,0,0,6,0.0,0.0,0.0212765950709581,0.0,0.0
Ecuador 2026,2026-02-22_CSD Macará - Leones FC.json,2026-02-22,CSD Macará - Leones FC,1ixo4545wkh4oe83osm4tg0a2,Leones FC,76p1xfg3sztqk60s7ic2fzywa,76p1xfg3sztqk60s7ic2fzywa,102.83333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,4,0,0.5931742107495663,0.5544599667191503,1,0,0,0,0,28,1.0,0.0,0.5931742107495663,0.0,0.0
Ecuador 2026,2026-02-22_CSD Macará - Leones FC.json,2026-02-22,CSD Macará - Leones FC,4c7u4ex3h310j2unfmd4uc18v,CSD Macará,5l65srfeepsxm6qw7m5hib1zp,5l65srfeepsxm6qw7m5hib1zp,102.83333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,0,0.1428571492433548,0.08292150311172,0,0,0,0,0,20,0.0,0.0,0.1428571492433548,0.0,0.0
